"Wissenschaftlicher Name","Deutscher Name","Produzent","URL"
"Eriophorum vaginatum","Scheidiges Wollgras","Staudengärtnerei StaudenSpatz",NA
"Eryngium campestre","Feld-Mannstreu","Staudengärtnerei StaudenSpatz",NA
"Erysimum cheiri","Goldlack","Staudengärtnerei StaudenSpatz",NA
"Erysimum crepidifolium","Bleicher Schöterich","Staudengärtnerei StaudenSpatz",NA
"Erysimum odoratum","Duft-Schöterich","Staudengärtnerei StaudenSpatz",NA
"Euphorbia esula","Esels-Wolfsmilch","Staudengärtnerei StaudenSpatz",NA
"Euphorbia palustris","Sumpf-Wolfsmilch","Staudengärtnerei StaudenSpatz",NA
"Euphorbia seguieriana","Steppen-Wolfsmilch","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/steppen-wolfsmilch-euphorbia-seguieriana-ssp-niciciana.html"
"Fagopyrum tataricum","Tatarischer Buchweizen,Falscher Buchweizen","Staudengärtnerei StaudenSpatz",NA
"Festuca amethystina","Amethyst-Schwingel","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/regenbogenschwingel-festuca-amethystina.html"
"Festuca filiformis","Haar-Schafschwingel","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/rote-segge-roter-haarschwingel-walberla-festuca-filiformis-walberla.html"
"Filipendula vulgaris","Kleines Mädesüß,Knollen-Rüsterstaude, Knolliger Geißbart","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/knolliges-kleines-maedesuess-filipendula-vulgaris.html"
"Fragaria moschata","Zimt-Erdbeere,Moschus-Erdbeere","Staudengärtnerei StaudenSpatz",NA
"Fritillaria meleagris","Schachbrettblume,Perlhuhn-Schachbrettblume","Staudengärtnerei StaudenSpatz",NA
"Fumana procumbens","Gewöhnliches Nadelröschen","Staudengärtnerei StaudenSpatz",NA
"Gagea villosa","Acker-Gelbstern,Acker-Goldstern","Staudengärtnerei StaudenSpatz",NA
"Galeopsis ladanum","Breitblättriger Hohlzahn","Staudengärtnerei StaudenSpatz",NA
"Galeopsis segetum","Saat-Hohlz","Staudengärtnerei StaudenSpatz",NA
"Galium boreale","Nordisches Labkraut","Staudengärtnerei StaudenSpatz",NA
"Galium glaucum","Blaugrünes Labkraut","Staudengärtnerei StaudenSpatz",NA
"Galium pumilum","Heide-Labkraut,Triften-Labkraut, Zierliches Labkraut","Staudengärtnerei StaudenSpatz",NA
"Genista germanica","Deutscher Ginster","Staudengärtnerei StaudenSpatz",NA
"Genista pilosa","Sand-Ginster,Haar-Ginster","Staudengärtnerei StaudenSpatz",NA
"Gentiana asclepiadea","Schwalbenwurz-Enzian","Staudengärtnerei StaudenSpatz",NA
