"Wissenschaftlicher Name","Deutscher Name","Produzent","URL"
"Campanula cochleariifolia","Zwerg-Glockenblume,Niedliche Glockenblume","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/campanula-cochleariifolia-wildpflanze-naturnah.html"
"Campanula glomerata","Knäuel-Glockenblume,Büschelglockenblume, Knäuekblütige Glockenblume","Hof Berg-Garten","https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/campanula-glomerata-saatgut-kaufen.html"
"Campanula glomerata","Knäuel-Glockenblume,Büschelglockenblume, Knäuekblütige Glockenblume","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/campanula-glomerata-573-wildpflanze-naturnah.html"
"Campanula rhomboidalis","Rautenblättrige Glockenblume","Hof Berg-Garten",NA
"Campanula scheuchzeri","Scheuchzers Glockenblume","Hof Berg-Garten",NA
"Carduus acanthoides","Weg-Distel","Hof Berg-Garten",NA
"Carduus defloratus","Alpen-Distel","Hof Berg-Garten",NA
"Carex davalliana","Davalls Segge,Torf-Segge","Hof Berg-Garten",NA
"Carex diandra","Draht-Segge","Hof Berg-Garten",NA
"Carex ericetorum","Heide-Segge","Hof Berg-Garten",NA
"Carex flava","Gelbe Segge","Hof Berg-Garten",NA
"Carex humilis","Erd-Segge,Zwergsegge","Hof Berg-Garten",NA
"Carex nigra","Wiesen-Segge","Hof Berg-Garten",NA
"Carex pseudocyperus","Scheinzypergras-Segge","Hof Berg-Garten",NA
"Carex sempervirens","Horst-Segge","Hof Berg-Garten",NA
"Carex vulpina","Fuchs-Segge","Hof Berg-Garten",NA
"Centaurea pseudophrygia","Perücken-Flockenblume","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/centaurea-pseudophrygia-wildpflanze-naturnah.html"
"Ceratophyllum submersum","Zartes Hornblatt","Hof Berg-Garten",NA
"Chenopodium bonus-henricus","Guter Heinrich","Hof Berg-Garten","https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/chenopodium-bonus-henricus-saatgut-kaufen.html"
"Chenopodium bonus-henricus","Guter Heinrich","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/chenopodium-bonus-henricus-600-wildpflanze-naturnah.html"
"Chondrilla juncea","Großer Knorpellattich,Binsen-Knorpellattich","Hof Berg-Garten",NA
"Cicerbita plumieri","Französischer Milchlattich","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/cicerbita-plumieri-wildpflanze-naturnah.html"
"Cicuta virosa","Wasserschierling,Gift-Wasserschierling","Hof Berg-Garten",NA
"Cirsium acaule","Stängellose Kratzdistel","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/cirsium-acaule-wildpflanze-naturnah.html"
"Cirsium rivulare","Bach-Kratzdistel","Hof Berg-Garten",NA
"Cirsium tuberosum","Knollen-Kratzdistel","Hof Berg-Garten",NA
"Cladium mariscus","Binsen-Schneide","Hof Berg-Garten",NA
"Colutea arborescens","Gelber Blasenstrauch","Hof Berg-Garten",NA
"Conium maculatum","Gefleckter Schierling","Hof Berg-Garten",NA
"Consolida regalis","Gewöhnlicher Feldrittersporn,Ackerrittersporn","Hof Berg-Garten","https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/consolida-regalis-saatgut-kaufen.html"
"Coronilla coronata","Berg-Kronwicke","Hof Berg-Garten",NA
"Coronilla vaginalis","Scheiden-Kronwicke","Hof Berg-Garten",NA
"Corydalis intermedia","Mittlerer Lerchensporn","Hof Berg-Garten",NA
"Corynephorus canescens","Gewöhnliches Silbergras","Hof Berg-Garten","https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/corynephorus-canescens-saatgut-kaufen.html"
"Corynephorus canescens","Gewöhnliches Silbergras","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/corynephorus-canescens-615-wildpflanze-naturnah.html"
"Crepis tectorum","Dach-Pippau","Hof Berg-Garten",NA
"Cyperus longus","Hohes Zypergras","Hof Berg-Garten",NA
"Cytisus nigricans","Schwarzer Geißklee","Hof Berg-Garten",NA
"Dactylorhiza incarnata","Steifblättrige Fingerwurz,Fleischfarbenes Knabenkraut","Hof Berg-Garten",NA
"Daphne cneorum","Rosmarin-Seidelbast","Hof Berg-Garten",NA
