"Wissenschaftlicher Name","Deutscher Name","Produzent","URL"
"Digitalis grandiflora","Großblütiger Fingerhut","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/digitalis-grandiflora-gro-bl-tiger-fingerhut.html"
"Digitalis lutea","Gelber Fingerhut","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/digitalis-lutea-gelber-fingerhut.html"
"Draba aizoides","Immergrünes Felsenblümchen,Hungerblümchen","Blauetikett Bornträger",NA
"Dryopteris cristata","Kammfarn","Blauetikett Bornträger",NA
"Echinocystis lobata","Stachelgurke,Gelappte Stachelgurke, Igelgurke","Blauetikett Bornträger",NA
"Eleocharis acicularis","Nadel-Sumpfbinse","Blauetikett Bornträger",NA
"Empetrum nigrum","Schwarze Krähenbeere","Blauetikett Bornträger",NA
"Epilobium palustre","Sumpf-Weidenröschen","Blauetikett Bornträger",NA
"Equisetum variegatum","Bunter Schachtelhalm","Blauetikett Bornträger",NA
"Erica carnea","Schnee-Heide","Blauetikett Bornträger",NA
"Eriophorum angustifolium","Schmalblättriges Wollgras","Blauetikett Bornträger",NA
"Eriophorum latifolium","Breitblättriges Wollgras","Blauetikett Bornträger",NA
"Eriophorum vaginatum","Scheidiges Wollgras","Blauetikett Bornträger",NA
"Eryngium campestre","Feld-Mannstreu","Blauetikett Bornträger",NA
"Erysimum cheiri","Goldlack","Blauetikett Bornträger",NA
"Erysimum crepidifolium","Bleicher Schöterich","Blauetikett Bornträger",NA
"Erysimum odoratum","Duft-Schöterich","Blauetikett Bornträger",NA
"Euphorbia esula","Esels-Wolfsmilch","Blauetikett Bornträger",NA
"Euphorbia palustris","Sumpf-Wolfsmilch","Blauetikett Bornträger",NA
"Euphorbia seguieriana","Steppen-Wolfsmilch","Blauetikett Bornträger",NA
"Fagopyrum tataricum","Tatarischer Buchweizen,Falscher Buchweizen","Blauetikett Bornträger",NA
"Festuca amethystina","Amethyst-Schwingel","Blauetikett Bornträger",NA
"Festuca filiformis","Haar-Schafschwingel","Blauetikett Bornträger",NA
"Filipendula vulgaris","Kleines Mädesüß,Knollen-Rüsterstaude, Knolliger Geißbart","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/filipendula-vulgaris-m-des.html"
"Fragaria moschata","Zimt-Erdbeere,Moschus-Erdbeere","Blauetikett Bornträger",NA
"Fritillaria meleagris","Schachbrettblume,Perlhuhn-Schachbrettblume","Blauetikett Bornträger",NA
"Fumana procumbens","Gewöhnliches Nadelröschen","Blauetikett Bornträger",NA
"Gagea villosa","Acker-Gelbstern,Acker-Goldstern","Blauetikett Bornträger",NA
"Galeopsis ladanum","Breitblättriger Hohlzahn","Blauetikett Bornträger",NA
"Galeopsis segetum","Saat-Hohlz","Blauetikett Bornträger",NA
"Galium boreale","Nordisches Labkraut","Blauetikett Bornträger",NA
"Galium glaucum","Blaugrünes Labkraut","Blauetikett Bornträger",NA
"Galium pumilum","Heide-Labkraut,Triften-Labkraut, Zierliches Labkraut","Blauetikett Bornträger",NA
"Genista germanica","Deutscher Ginster","Blauetikett Bornträger",NA
"Genista pilosa","Sand-Ginster,Haar-Ginster","Blauetikett Bornträger",NA
"Gentiana asclepiadea","Schwalbenwurz-Enzian","Blauetikett Bornträger",NA
"Gentiana cruciata","Kreuz-Enzian,Gentiana cruciata subsp. cruciata","Blauetikett Bornträger",NA
"Gentiana lutea","Gelber Enzian","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/gentiana-lutea-gelber-enzian.html"
"Gentiana pneumonanthe","Lungen-Enzian","Blauetikett Bornträger",NA
"Gentiana verna","Frühlings-Enzian,Schusternagerl, Himmelsbläueli","Blauetikett Bornträger",NA
"Gentianella germanica","Deutscher Kranzenzian,Deutscher Fransenenzian","Blauetikett Bornträger",NA
"Gladiolus palustris","Sumpf-Siegwurz,Sumpf-Gladiole","Blauetikett Bornträger",NA
"Globularia punctata","Echte Kugelblume","Blauetikett Bornträger",NA
