"Species","Producer","URL"
"Brassica nigra","Rieger-Hofmann",NA
"Briza media","Rieger-Hofmann",NA
"Bromus erectus","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/graeser.html?tt_products%5Bpp%5D=0"
"Bryonia alba","Rieger-Hofmann",NA
"Bryonia dioica","Rieger-Hofmann",NA
"Buglossoides purpurocaerulea","Rieger-Hofmann",NA
"Buphthalmum salicifolium","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=1"
"Bupleurum falcatum","Rieger-Hofmann",NA
"Bupleurum longifolium","Rieger-Hofmann",NA
"Bupleurum ranunculoides","Rieger-Hofmann",NA
"Bupleurum rotundifolium","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=1"
"Butomus umbellatus","Rieger-Hofmann",NA
"Cakile maritima","Rieger-Hofmann",NA
"Calamagrostis arundinacea","Rieger-Hofmann",NA
"Calamagrostis canescens","Rieger-Hofmann",NA
"Calamagrostis pseudophragmites","Rieger-Hofmann",NA
"Calamagrostis varia","Rieger-Hofmann",NA
"Calamintha nepeta","Rieger-Hofmann",NA
"Calendula arvensis","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=1"
"Calla palustris","Rieger-Hofmann",NA
"Callitriche palustris","Rieger-Hofmann",NA
"Calluna vulgaris","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=1"
"Caltha palustris","Rieger-Hofmann",NA
"Campanula bononiensis","Rieger-Hofmann",NA
"Campanula cervicaria","Rieger-Hofmann",NA
"Campanula cochleariifolia","Rieger-Hofmann",NA
"Campanula glomerata","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=1"
"Campanula latifolia","Rieger-Hofmann",NA
"Campanula patula","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=1"
"Campanula persicifolia","Rieger-Hofmann",NA
"Campanula rapunculus","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=1"
"Campanula rhomboidalis","Rieger-Hofmann",NA
"Campanula rotundifolia","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=1"
"Campanula scheuchzeri","Rieger-Hofmann",NA
"Campanula sibirica","Rieger-Hofmann",NA
"Campanula trachelium","Rieger-Hofmann",NA
"Cardamine alpina","Rieger-Hofmann",NA
"Cardamine amara","Rieger-Hofmann",NA
"Cardamine bulbifera","Rieger-Hofmann",NA
"Cardamine flexuosa","Rieger-Hofmann",NA
"Cardamine impatiens","Rieger-Hofmann",NA
"Cardamine pratensis","Rieger-Hofmann",NA
"Carduus acanthoides","Rieger-Hofmann",NA
"Carduus defloratus","Rieger-Hofmann",NA
"Carduus nutans","Rieger-Hofmann",NA
"Carex acuta","Rieger-Hofmann",NA
"Carex alba","Rieger-Hofmann",NA
"Carex arenaria","Rieger-Hofmann",NA
"Carex brizoides","Rieger-Hofmann",NA
"Carex caryophyllea","Rieger-Hofmann",NA
"Carex davalliana","Rieger-Hofmann",NA
"Carex diandra","Rieger-Hofmann",NA
"Carex digitata","Rieger-Hofmann",NA
"Carex divulsa","Rieger-Hofmann",NA
"Carex elata","Rieger-Hofmann",NA
"Carex ericetorum","Rieger-Hofmann",NA
"Carex flacca","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/graeser.html?tt_products%5Bpp%5D=0"
"Carex flava","Rieger-Hofmann",NA
"Carex humilis","Rieger-Hofmann",NA
"Carex leporina","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/graeser.html?tt_products%5Bpp%5D=0"
"Carex montana","Rieger-Hofmann",NA
"Carex nigra","Rieger-Hofmann",NA
"Carex obtusata","Rieger-Hofmann",NA
"Carex ornithopoda","Rieger-Hofmann",NA
"Carex panicea","Rieger-Hofmann",NA
"Carex paniculata","Rieger-Hofmann",NA
"Carex pendula","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/graeser.html?tt_products%5Bpp%5D=0"
"Carex pilulifera","Rieger-Hofmann",NA
"Carex pseudocyperus","Rieger-Hofmann",NA
"Carex remota","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/graeser.html?tt_products%5Bpp%5D=0"
"Carex riparia","Rieger-Hofmann",NA
"Carex rostrata","Rieger-Hofmann",NA
"Carex sempervirens","Rieger-Hofmann",NA
"Carex spicata","Rieger-Hofmann",NA
"Carex sylvatica","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/graeser.html?tt_products%5Bpp%5D=0"
"Carex umbrosa","Rieger-Hofmann",NA
