"Species","Producer","URL"
"Callitriche palustris","Blauetikett Bornträger",NA
"Calluna vulgaris","Blauetikett Bornträger",NA
"Caltha palustris","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/caltha-palustris-sumpfdotterblume.html"
"Campanula bononiensis","Blauetikett Bornträger",NA
"Campanula cervicaria","Blauetikett Bornträger",NA
"Campanula cochleariifolia","Blauetikett Bornträger",NA
"Campanula glomerata","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/campanula-glomerata-kn-uelglockenblume.html"
"Campanula latifolia","Blauetikett Bornträger",NA
"Campanula patula","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/campanula-patula-wiesenglockenblume.html"
"Campanula persicifolia","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/campanula-persicifolia-pfirsichblatt-glockenblume.html"
"Campanula rapunculus","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/rapunzel-glockenblume-campanula-rapunculus.html"
"Campanula rhomboidalis","Blauetikett Bornträger",NA
"Campanula rotundifolia","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/campanula-rotundifolia-rundblatt-glockenblume.html"
"Campanula scheuchzeri","Blauetikett Bornträger",NA
"Campanula sibirica","Blauetikett Bornträger",NA
"Campanula trachelium","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/campanula-trachelium-nesselblatt-glockenblume.html"
"Cardamine alpina","Blauetikett Bornträger",NA
"Cardamine amara","Blauetikett Bornträger",NA
"Cardamine bulbifera","Blauetikett Bornträger",NA
"Cardamine flexuosa","Blauetikett Bornträger",NA
"Cardamine impatiens","Blauetikett Bornträger",NA
"Cardamine pratensis","Blauetikett Bornträger",NA
"Carduus acanthoides","Blauetikett Bornträger",NA
"Carduus defloratus","Blauetikett Bornträger",NA
"Carduus nutans","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/carduus-nutans-nickende-kratzdistel.html"
"Carex acuta","Blauetikett Bornträger",NA
"Carex alba","Blauetikett Bornträger",NA
"Carex arenaria","Blauetikett Bornträger",NA
"Carex brizoides","Blauetikett Bornträger",NA
"Carex caryophyllea","Blauetikett Bornträger",NA
"Carex davalliana","Blauetikett Bornträger",NA
"Carex diandra","Blauetikett Bornträger",NA
"Carex digitata","Blauetikett Bornträger",NA
"Carex divulsa","Blauetikett Bornträger",NA
"Carex elata","Blauetikett Bornträger",NA
"Carex ericetorum","Blauetikett Bornträger",NA
"Carex flacca","Blauetikett Bornträger",NA
"Carex flava","Blauetikett Bornträger",NA
"Carex humilis","Blauetikett Bornträger",NA
"Carex leporina","Blauetikett Bornträger",NA
"Carex montana","Blauetikett Bornträger",NA
"Carex nigra","Blauetikett Bornträger",NA
"Carex obtusata","Blauetikett Bornträger",NA
"Carex ornithopoda","Blauetikett Bornträger",NA
"Carex panicea","Blauetikett Bornträger",NA
"Carex paniculata","Blauetikett Bornträger",NA
"Carex pendula","Blauetikett Bornträger",NA
"Carex pilulifera","Blauetikett Bornträger",NA
"Carex pseudocyperus","Blauetikett Bornträger",NA
"Carex remota","Blauetikett Bornträger",NA
"Carex riparia","Blauetikett Bornträger",NA
"Carex rostrata","Blauetikett Bornträger",NA
"Carex sempervirens","Blauetikett Bornträger",NA
"Carex spicata","Blauetikett Bornträger",NA
"Carex sylvatica","Blauetikett Bornträger",NA
"Carex umbrosa","Blauetikett Bornträger",NA
"Carex vulpina","Blauetikett Bornträger",NA
"Carlina acaulis","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/carlina-acaulis-simplex-silberdistel.html"
"Carlina vulgaris","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/carlina-vulgaris-golddistel.html"
"Carum carvi","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/kuemmel.html"
"Centaurea cyanus","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/centaurea-cyanus-kornblume.html"
"Centaurea jacea","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/centaurea-jacea-wiesenflockenblume.html"
"Centaurea montana","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/centaurea-montana-bergflockenblume.html"
"Centaurea nigra","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/centaurea-nigra-schwarze-flockenblume.html"
"Centaurea nigrescens","Blauetikett Bornträger",NA
"Centaurea phrygia","Blauetikett Bornträger",NA
"Centaurea pseudophrygia","Blauetikett Bornträger",NA
"Centaurea scabiosa","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/centaurea-scabiosa-skabiosen-flockenblume-4744.html"
"Centaurea scabiosa","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/centaurea-scabiosa-skabiosen-flockenblume.html"
"Centaurea stoebe","Blauetikett Bornträger",NA
"Centaurium erythraea","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/centaurium-erythraea-tausendg-ldenkraut.html"
"Cephalanthera damasonium","Blauetikett Bornträger",NA
"Cerastium arvense","Blauetikett Bornträger",NA
"Ceratophyllum demersum","Blauetikett Bornträger",NA
"Ceratophyllum submersum","Blauetikett Bornträger",NA
"Cerinthe minor","Blauetikett Bornträger",NA
"Chaerophyllum aromaticum","Blauetikett Bornträger",NA
"Chaerophyllum aureum","Blauetikett Bornträger",NA
"Chaerophyllum bulbosum","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/kerbelruebe-chaerophyllum-bulbosum.html"
"Chaerophyllum hirsutum","Blauetikett Bornträger",NA
"Chamaecytisus ratisbonensis","Blauetikett Bornträger",NA
"Chamaecytisus supinus","Blauetikett Bornträger",NA
"Chenopodium bonus-henricus","Blauetikett Bornträger",NA
"Chenopodium foliosum","Blauetikett Bornträger",NA
"Chenopodium hybridum","Blauetikett Bornträger",NA
"Chondrilla juncea","Blauetikett Bornträger",NA
"Chrysosplenium alternifolium","Blauetikett Bornträger",NA
"Cicerbita alpina","Blauetikett Bornträger",NA
"Cicerbita plumieri","Blauetikett Bornträger",NA
"Cichorium intybus","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/wegwarte-cichorium-intybus.html"
"Cichorium intybus","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/cichorium-intybus-wegwarte.html"
"Cicuta virosa","Blauetikett Bornträger",NA
"Circaea lutetiana","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/circaea-lutetiana-gew-hnliches-hexenkraut.html"
"Cirsium acaule","Blauetikett Bornträger",NA
"Cirsium acaulon","Blauetikett Bornträger",NA
"Cirsium canum","Blauetikett Bornträger",NA
"Cirsium eriophorum","Blauetikett Bornträger",NA
"Cirsium oleraceum","Blauetikett Bornträger",NA
"Cirsium palustre","Blauetikett Bornträger",NA
"Cirsium rivulare","Blauetikett Bornträger",NA
"Cirsium tuberosum","Blauetikett Bornträger",NA
"Cladium mariscus","Blauetikett Bornträger",NA
"Clematis recta","Blauetikett Bornträger",NA
"Clinopodium vulgare","Blauetikett Bornträger",NA
"Cochlearia officinalis","Blauetikett Bornträger",NA
"Colchicum autumnale","Blauetikett Bornträger",NA
"Colutea arborescens","Blauetikett Bornträger",NA
"Comarum palustre","Blauetikett Bornträger",NA
"Conium maculatum","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/conium-maculatum-fleckenschierling.html"
"Consolida regalis","Blauetikett Bornträger",NA
"Convallaria majalis","Blauetikett Bornträger",NA
"Cornus mas","Blauetikett Bornträger",NA
"Coronilla coronata","Blauetikett Bornträger",NA
"Coronilla vaginalis","Blauetikett Bornträger",NA
"Corydalis cava","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/corydalis-cava-hohler-lerchensporn.html"
"Corydalis intermedia","Blauetikett Bornträger",NA
"Corydalis pumila","Blauetikett Bornträger",NA
"Corydalis solida","Blauetikett Bornträger",NA
"Corynephorus canescens","Blauetikett Bornträger",NA
"Cotoneaster integerrimus","Blauetikett Bornträger",NA
"Crambe maritima","Blauetikett Bornträger",NA
"Crataegus laevigata","Blauetikett Bornträger",NA
"Crataegus macrocarpa","Blauetikett Bornträger",NA
"Crepis biennis","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/crepis-biennis-wiesenpippau.html"
"Crepis paludosa","Blauetikett Bornträger",NA
"Crepis tectorum","Blauetikett Bornträger",NA
"Cruciata laevipes","Blauetikett Bornträger",NA
"Cyclamen purpurascens","Blauetikett Bornträger",NA
"Cymbalaria muralis","Blauetikett Bornträger",NA
"Cynoglossum officinale","Blauetikett Bornträger",NA
"Cynosurus cristatus","Blauetikett Bornträger",NA
"Cyperus longus","Blauetikett Bornträger",NA
"Cystopteris fragilis","Blauetikett Bornträger",NA
"Cytisus nigricans","Blauetikett Bornträger",NA
"Dactylis polygama","Blauetikett Bornträger",NA
"Dactylorhiza incarnata","Blauetikett Bornträger",NA
"Dactylorhiza praetermissa","Blauetikett Bornträger",NA
"Danthonia decumbens","Blauetikett Bornträger",NA
"Daphne cneorum","Blauetikett Bornträger",NA
"Daphne mezereum","Blauetikett Bornträger",NA
"Descurainia sophia","Blauetikett Bornträger",NA
"Dianthus arenarius","Blauetikett Bornträger",NA
"Dianthus armeria","Blauetikett Bornträger",NA
"Dianthus carthusianorum","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/dianthus-carthusianorum-karth-usernelke.html"
"Dianthus deltoides","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/dianthus-deltoides-heidenelke.html"
"Dianthus gratianopolitanus","Blauetikett Bornträger",NA
"Dianthus superbus","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/dianthus-superbus-prachtnelke.html"
"Dichoropetalum carvifolia","Blauetikett Bornträger",NA
"Dictamnus albus","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/dictamnus-albus-diptam.html"
"Digitalis grandiflora","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/digitalis-grandiflora-gro-bl-tiger-fingerhut.html"
"Digitalis lutea","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/digitalis-lutea-gelber-fingerhut.html"
"Dipsacus pilosus","Blauetikett Bornträger",NA
"Doronicum pardalianches","Blauetikett Bornträger",NA
"Draba aizoides","Blauetikett Bornträger",NA
"Dracocephalum ruyschiana","Blauetikett Bornträger",NA
"Dryas octopetala","Blauetikett Bornträger",NA
"Dryopteris affinis","Blauetikett Bornträger",NA
"Dryopteris carthusiana","Blauetikett Bornträger",NA
"Dryopteris cristata","Blauetikett Bornträger",NA
"Echinocystis lobata","Blauetikett Bornträger",NA
"Echium vulgare","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/echium-vulgare-natternkopf.html"
"Eleocharis acicularis","Blauetikett Bornträger",NA
"Eleocharis palustris","Blauetikett Bornträger",NA
"Elodea canadensis","Blauetikett Bornträger",NA
"Elymus caninus","Blauetikett Bornträger",NA
"Empetrum nigrum","Blauetikett Bornträger",NA
"Epilobium dodonaei","Blauetikett Bornträger",NA
"Epilobium fleischeri","Blauetikett Bornträger",NA
"Epilobium palustre","Blauetikett Bornträger",NA
