"Species","Producer","URL"
"Blechnum spicant","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/rippenfarn-blechnum-spicant.html"
"Bolboschoenus maritimus","Staudengärtnerei StaudenSpatz",NA
"Brachypodium pinnatum","Staudengärtnerei StaudenSpatz",NA
"Brachypodium sylvaticum","Staudengärtnerei StaudenSpatz",NA
"Brassica nigra","Staudengärtnerei StaudenSpatz",NA
"Briza media","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/zittergras-briza-media.html"
"Briza media","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/zittergras-zitterzebra-briza-media-zitterzebra.html"
"Bromus erectus","Staudengärtnerei StaudenSpatz",NA
"Bryonia alba","Staudengärtnerei StaudenSpatz",NA
"Bryonia dioica","Staudengärtnerei StaudenSpatz",NA
"Buglossoides purpurocaerulea","Staudengärtnerei StaudenSpatz",NA
"Buphthalmum salicifolium","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/ochsenauge-buphthalmum-salicifolium.html"
"Bupleurum falcatum","Staudengärtnerei StaudenSpatz",NA
"Bupleurum longifolium","Staudengärtnerei StaudenSpatz",NA
"Bupleurum ranunculoides","Staudengärtnerei StaudenSpatz",NA
"Bupleurum rotundifolium","Staudengärtnerei StaudenSpatz",NA
"Butomus umbellatus","Staudengärtnerei StaudenSpatz",NA
"Cakile maritima","Staudengärtnerei StaudenSpatz",NA
"Calamagrostis arundinacea","Staudengärtnerei StaudenSpatz",NA
"Calamagrostis canescens","Staudengärtnerei StaudenSpatz",NA
"Calamagrostis pseudophragmites","Staudengärtnerei StaudenSpatz",NA
"Calamagrostis varia","Staudengärtnerei StaudenSpatz",NA
"Calamintha nepeta","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/steinquendel-calamintha-nepeta.html"
"Calendula arvensis","Staudengärtnerei StaudenSpatz",NA
"Calla palustris","Staudengärtnerei StaudenSpatz",NA
"Callitriche palustris","Staudengärtnerei StaudenSpatz",NA
"Calluna vulgaris","Staudengärtnerei StaudenSpatz",NA
"Caltha palustris","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/sumpf-dotterblume-caltha-palustris.html"
"Campanula bononiensis","Staudengärtnerei StaudenSpatz",NA
"Campanula cervicaria","Staudengärtnerei StaudenSpatz",NA
"Campanula cochleariifolia","Staudengärtnerei StaudenSpatz",NA
"Campanula glomerata","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/knaeul-glockenblume-campanula-glomerata.html"
"Campanula latifolia","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/wald-glockenblume-campanula-latifolia.html"
"Campanula latifolia","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/wald-glockenblume-alba-campanula-latifolia-var-macrantha-alba.html"
"Campanula patula","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/wiesen-glockenblume-campanula-patula.html"
"Campanula persicifolia","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/pfirsichblaettrige-glockenblume-campanula-persicifolia.html"
"Campanula persicifolia","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/pfirsichblaettrige-glockenblume-grandiflora-campanula-persicifolia-grandiflora.html"
"Campanula persicifolia","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/pfirsichblaettrige-glockenblume-grandiflora-alba-campanula-persicifolia-alba.html"
"Campanula rapunculus","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/rapunzel-glockenblume-campanula-rapunculus.html"
"Campanula rhomboidalis","Staudengärtnerei StaudenSpatz",NA
"Campanula rotundifolia","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/rundblaettrige-glockenblume-campanula-rotundifolia.html"
"Campanula rotundifolia","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/weisse-rundblaettrige-glockenblume-white-gem-campanula-rotundifolia-white-gem.html"
"Campanula scheuchzeri","Staudengärtnerei StaudenSpatz",NA
"Campanula sibirica","Staudengärtnerei StaudenSpatz",NA
"Campanula trachelium","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/nessel-glockenblume-campanula-trachelium.html"
"Campanula trachelium","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/Nesselblaettrige-Glockenblume-Album--Campanula-trachelium-.html"
"Cardamine alpina","Staudengärtnerei StaudenSpatz",NA
"Cardamine amara","Staudengärtnerei StaudenSpatz",NA
"Cardamine bulbifera","Staudengärtnerei StaudenSpatz",NA
"Cardamine flexuosa","Staudengärtnerei StaudenSpatz",NA
"Cardamine impatiens","Staudengärtnerei StaudenSpatz",NA
"Cardamine pratensis","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/wiesen-schaumkraut-cardamine-pratensis.html"
"Carduus acanthoides","Staudengärtnerei StaudenSpatz",NA
"Carduus defloratus","Staudengärtnerei StaudenSpatz",NA
"Carduus nutans","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/nickende-distel-carduus-nutans.html"
"Carex acuta","Staudengärtnerei StaudenSpatz",NA
"Carex alba","Staudengärtnerei StaudenSpatz",NA
"Carex arenaria","Staudengärtnerei StaudenSpatz",NA
"Carex brizoides","Staudengärtnerei StaudenSpatz",NA
"Carex caryophyllea","Staudengärtnerei StaudenSpatz",NA
"Carex davalliana","Staudengärtnerei StaudenSpatz",NA
"Carex diandra","Staudengärtnerei StaudenSpatz",NA
"Carex digitata","Staudengärtnerei StaudenSpatz",NA
"Carex divulsa","Staudengärtnerei StaudenSpatz",NA
"Carex elata","Staudengärtnerei StaudenSpatz",NA
"Carex ericetorum","Staudengärtnerei StaudenSpatz",NA
"Carex flacca","Staudengärtnerei StaudenSpatz",NA
"Carex flava","Staudengärtnerei StaudenSpatz",NA
"Carex humilis","Staudengärtnerei StaudenSpatz",NA
"Carex leporina","Staudengärtnerei StaudenSpatz",NA
"Carex montana","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/berg-segge-carex-montana.html"
"Carex nigra","Staudengärtnerei StaudenSpatz",NA
"Carex obtusata","Staudengärtnerei StaudenSpatz",NA
"Carex ornithopoda","Staudengärtnerei StaudenSpatz",NA
"Carex panicea","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/hirse-segge-carex-panicea.html"
"Carex paniculata","Staudengärtnerei StaudenSpatz",NA
"Carex pendula","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/riesen-segge-carex-pendula.html"
"Carex pilulifera","Staudengärtnerei StaudenSpatz",NA
"Carex pseudocyperus","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/scheinzyperngras-segge-carex-pseudocyperus.html"
"Carex remota","Staudengärtnerei StaudenSpatz",NA
"Carex riparia","Staudengärtnerei StaudenSpatz",NA
"Carex rostrata","Staudengärtnerei StaudenSpatz",NA
"Carex sempervirens","Staudengärtnerei StaudenSpatz",NA
"Carex spicata","Staudengärtnerei StaudenSpatz",NA
"Carex sylvatica","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/wald-segge-carex-sylvatica.html"
"Carex umbrosa","Staudengärtnerei StaudenSpatz",NA
"Carex vulpina","Staudengärtnerei StaudenSpatz",NA
"Carlina acaulis","Staudengärtnerei StaudenSpatz",NA
"Carlina vulgaris","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/gewoehnliche-golddistel-carlina-vulgaris.html"
"Carum carvi","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/echter-kuemmel-carum-carvi.html"
"Centaurea cyanus","Staudengärtnerei StaudenSpatz",NA
"Centaurea jacea","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/schmalblaettrige-wiesen-flockenblume-centaurea-jacea-ssp-angustifolia.html"
"Centaurea jacea","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/wiesen-flockenblume-centaurea-jacea.html"
"Centaurea montana","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/berg-flockenblume-centaurea-montana.html"
"Centaurea nigra","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/dunkle-flockenblume-centaurea-nigra.html"
"Centaurea nigrescens","Staudengärtnerei StaudenSpatz",NA
"Centaurea phrygia","Staudengärtnerei StaudenSpatz",NA
"Centaurea pseudophrygia","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/peruecken-flockenblume-centaurea-pseudophrygia.html"
"Centaurea scabiosa","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/skabiosen-flockenblume-centaurea-scabiosa.html"
"Centaurea stoebe","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/rispen-flockenblume-centaurea-stoebe.html"
"Centaurium erythraea","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/tausendgueldenkraut-centaurium-erythraea.html"
"Cephalanthera damasonium","Staudengärtnerei StaudenSpatz",NA
"Cerastium arvense","Staudengärtnerei StaudenSpatz",NA
"Ceratophyllum demersum","Staudengärtnerei StaudenSpatz",NA
"Ceratophyllum submersum","Staudengärtnerei StaudenSpatz",NA
"Cerinthe minor","Staudengärtnerei StaudenSpatz",NA
"Chaerophyllum aromaticum","Staudengärtnerei StaudenSpatz",NA
"Chaerophyllum aureum","Staudengärtnerei StaudenSpatz",NA
"Chaerophyllum bulbosum","Staudengärtnerei StaudenSpatz",NA
"Chaerophyllum hirsutum","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/gebirgs-kaelberkropf-chaerophyllum-hirsutum.html"
"Chamaecytisus ratisbonensis","Staudengärtnerei StaudenSpatz",NA
"Chamaecytisus supinus","Staudengärtnerei StaudenSpatz",NA
"Chenopodium bonus-henricus","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/guter-heinrich-chenopodium-bonus-henricus.html"
"Chenopodium foliosum","Staudengärtnerei StaudenSpatz",NA
"Chenopodium hybridum","Staudengärtnerei StaudenSpatz",NA
"Chondrilla juncea","Staudengärtnerei StaudenSpatz",NA
"Chrysosplenium alternifolium","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/wechselblaettriges-milzkraut-chrysosplenium-alternifolium.html"
"Cicerbita alpina","Staudengärtnerei StaudenSpatz",NA
"Cicerbita plumieri","Staudengärtnerei StaudenSpatz",NA
"Cichorium intybus","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/wegwarte-cichorium-intybus.html"
"Cicuta virosa","Staudengärtnerei StaudenSpatz",NA
"Circaea lutetiana","Staudengärtnerei StaudenSpatz",NA
"Cirsium acaule","Staudengärtnerei StaudenSpatz",NA
"Cirsium acaulon","Staudengärtnerei StaudenSpatz",NA
"Cirsium canum","Staudengärtnerei StaudenSpatz",NA
"Cirsium eriophorum","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/wollkoepfige-kratzdistel-cirsium-eriophorum.html"
"Cirsium oleraceum","Staudengärtnerei StaudenSpatz",NA
"Cirsium palustre","Staudengärtnerei StaudenSpatz",NA
"Cirsium rivulare","Staudengärtnerei StaudenSpatz",NA
"Cirsium tuberosum","Staudengärtnerei StaudenSpatz",NA
