"Species","Producer","URL"
"Cicerbita plumieri","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/cicerbita-plumieri-wildpflanze-naturnah.html"
"Cichorium intybus","Hof Berg-Garten","https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/cichorium-intybus-saatgut-kaufen.html"
"Cichorium intybus","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/cichorium-intybus-605-wildpflanze-naturnah.html"
"Cicuta virosa","Hof Berg-Garten",NA
"Circaea lutetiana","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/circaea-lutetiana-wildpflanze-naturnah.html"
"Cirsium acaule","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/cirsium-acaule-wildpflanze-naturnah.html"
"Cirsium acaulon","Hof Berg-Garten",NA
"Cirsium canum","Hof Berg-Garten",NA
"Cirsium eriophorum","Hof Berg-Garten","https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/cirsium-eriophorum-saatgut-kaufen.html"
"Cirsium eriophorum","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/cirsium-eriophorum-608-wildpflanze-naturnah.html"
"Cirsium oleraceum","Hof Berg-Garten",NA
"Cirsium palustre","Hof Berg-Garten",NA
"Cirsium rivulare","Hof Berg-Garten",NA
"Cirsium tuberosum","Hof Berg-Garten",NA
"Cladium mariscus","Hof Berg-Garten",NA
"Clematis recta","Hof Berg-Garten",NA
"Clinopodium vulgare","Hof Berg-Garten","https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/clinopodium-vulgare-saatgut-kaufen.html"
"Clinopodium vulgare","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/clinopodium-vulgare-612-wildpflanze-naturnah.html"
"Cochlearia officinalis","Hof Berg-Garten","https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/cochlearia-officinalis-saatgut-kaufen.html"
"Colchicum autumnale","Hof Berg-Garten",NA
"Colutea arborescens","Hof Berg-Garten",NA
"Comarum palustre","Hof Berg-Garten",NA
"Conium maculatum","Hof Berg-Garten",NA
