State,Species,Endangerment,Light,Water,Nutrients,PH-value,Soil,Freezing tolerance,Maximale height,Flower color,Bees,Butterflies,Birds,Mammals,Roof,Balcony,h_binned
Bavaria,Lysimachia thyrsiflora,3,Sun to Half-shade,wet,N-rich,NA,normal to loamy,to -23 °C (to Climatic zone 6),60,yellow,Bees,Butterflies (1 spp.),NA,1 spp. of mammals,NA,NA,40-60 cm
Berlin,Lysimachia thyrsiflora,V,Sun to Half-shade,wet,N-rich,NA,normal to loamy,to -23 °C (to Climatic zone 6),60,yellow,Bees,Butterflies (1 spp.),NA,1 spp. of mammals,NA,NA,40-60 cm
Brandenburg,Lysimachia thyrsiflora,V,Sun to Half-shade,wet,N-rich,NA,normal to loamy,to -23 °C (to Climatic zone 6),60,yellow,Bees,Butterflies (1 spp.),NA,1 spp. of mammals,NA,NA,40-60 cm
Bremen/Lower Saxony,Lysimachia thyrsiflora,V,Sun to Half-shade,wet,N-rich,NA,normal to loamy,to -23 °C (to Climatic zone 6),60,yellow,Bees,Butterflies (1 spp.),NA,1 spp. of mammals,NA,NA,40-60 cm
Hamburg,Lysimachia thyrsiflora,3,Sun to Half-shade,wet,N-rich,NA,normal to loamy,to -23 °C (to Climatic zone 6),60,yellow,Bees,Butterflies (1 spp.),NA,1 spp. of mammals,NA,NA,40-60 cm
Hesse,Lysimachia thyrsiflora,0,Sun to Half-shade,wet,N-rich,NA,normal to loamy,to -23 °C (to Climatic zone 6),60,yellow,Bees,Butterflies (1 spp.),NA,1 spp. of mammals,NA,NA,40-60 cm
North Rhine-Westphalia,Lysimachia thyrsiflora,2,Sun to Half-shade,wet,N-rich,NA,normal to loamy,to -23 °C (to Climatic zone 6),60,yellow,Bees,Butterflies (1 spp.),NA,1 spp. of mammals,NA,NA,40-60 cm
Rhineland-Palatinate,Lysimachia thyrsiflora,2,Sun to Half-shade,wet,N-rich,NA,normal to loamy,to -23 °C (to Climatic zone 6),60,yellow,Bees,Butterflies (1 spp.),NA,1 spp. of mammals,NA,NA,40-60 cm
Saarland,Lysimachia thyrsiflora,1,Sun to Half-shade,wet,N-rich,NA,normal to loamy,to -23 °C (to Climatic zone 6),60,yellow,Bees,Butterflies (1 spp.),NA,1 spp. of mammals,NA,NA,40-60 cm
Saxony,Lysimachia thyrsiflora,3,Sun to Half-shade,wet,N-rich,NA,normal to loamy,to -23 °C (to Climatic zone 6),60,yellow,Bees,Butterflies (1 spp.),NA,1 spp. of mammals,NA,NA,40-60 cm
Saxony-Anhalt,Lysimachia thyrsiflora,3,Sun to Half-shade,wet,N-rich,NA,normal to loamy,to -23 °C (to Climatic zone 6),60,yellow,Bees,Butterflies (1 spp.),NA,1 spp. of mammals,NA,NA,40-60 cm
Schleswig-Holstein,Lysimachia thyrsiflora,3,Sun to Half-shade,wet,N-rich,NA,normal to loamy,to -23 °C (to Climatic zone 6),60,yellow,Bees,Butterflies (1 spp.),NA,1 spp. of mammals,NA,NA,40-60 cm
Thuringia,Lysimachia thyrsiflora,2,Sun to Half-shade,wet,N-rich,NA,normal to loamy,to -23 °C (to Climatic zone 6),60,yellow,Bees,Butterflies (1 spp.),NA,1 spp. of mammals,NA,NA,40-60 cm
Baden-Württemberg,Lythrum hyssopifolia,2,Sun to Half-shade,wet to moist,N-rich,NA,loamy,NA,30,violet,NA,NA,NA,NA,NA,NA,0-40 cm
Bavaria,Lythrum hyssopifolia,2,Sun to Half-shade,wet to moist,N-rich,NA,loamy,NA,30,violet,NA,NA,NA,NA,NA,NA,0-40 cm
Berlin,Lythrum hyssopifolia,0,Sun to Half-shade,wet to moist,N-rich,NA,loamy,NA,30,violet,NA,NA,NA,NA,NA,NA,0-40 cm
Brandenburg,Lythrum hyssopifolia,2,Sun to Half-shade,wet to moist,N-rich,NA,loamy,NA,30,violet,NA,NA,NA,NA,NA,NA,0-40 cm
