State,Species,Endangerment,Light,Water,Nutrients,PH-value,Soil,Freezing tolerance,Maximale height,Flower color,Bees,Butterflies,Birds,Mammals,Roof,Balcony,h_binned
Brandenburg,Abies alba,1,Sun to Shade,moist,N-rich,NA,normal to humus,to -23 °C (to Climatic zone 6),4000,yellow,NA,Butterflies (17 spp.),NA,17 spp. of mammals,NA,NA,100+ cm
Saxony,Abies alba,1,Sun to Shade,moist,N-rich,NA,normal to humus,to -23 °C (to Climatic zone 6),4000,yellow,NA,Butterflies (17 spp.),NA,17 spp. of mammals,NA,NA,100+ cm
Brandenburg,Acer campestre,G,Sun to Half-shade,moist to dry,N-poor to intermediate,NA,permeable to normal,to -28 °C (to Climatic zone 5),1500,green,Bees (16 spp.),Butterflies (23 spp.),Birds (23 spp.),23 spp. of mammals,NA,NA,100+ cm
Bavaria,Acer monspessulanum,3,Sun to Half-shade,moist to dry,intermediate,NA,NA,to -23 °C (to Climatic zone 6),1000,green,NA,Butterflies (2 spp.),NA,NA,NA,NA,100+ cm
Baden-Württemberg,Acer opalus,R,Sun to Half-shade,moist to dry,intermediate,alkaline,normal,NA,1200,yellow,NA,NA,NA,NA,NA,NA,100+ cm
Bavaria,Achillea macrophylla,R,Sun to Half-shade,wet to moist,intermediate to N-rich,NA,permeable to normal,NA,100,white,NA,NA,NA,NA,NA,NA,60-100 cm
Baden-Württemberg,Achillea nobilis,3,Sun to Half-shade,moist to dry,N-rich,alkaline,loamy,to -23 °C (to Climatic zone 6),50,white,NA,Butterflies (1 spp.),NA,1 spp. of mammals,yes,yes,40-60 cm
Hesse,Achillea nobilis,3,Sun to Half-shade,moist to dry,N-rich,alkaline,loamy,to -23 °C (to Climatic zone 6),50,white,NA,Butterflies (1 spp.),NA,1 spp. of mammals,yes,yes,40-60 cm
North Rhine-Westphalia,Achillea nobilis,0,Sun to Half-shade,moist to dry,N-rich,alkaline,loamy,to -23 °C (to Climatic zone 6),50,white,NA,Butterflies (1 spp.),NA,1 spp. of mammals,yes,yes,40-60 cm
Saxony,Achillea nobilis,1,Sun to Half-shade,moist to dry,N-rich,alkaline,loamy,to -23 °C (to Climatic zone 6),50,white,NA,Butterflies (1 spp.),NA,1 spp. of mammals,yes,yes,40-60 cm
Saxony-Anhalt,Achillea nobilis,3,Sun to Half-shade,moist to dry,N-rich,alkaline,loamy,to -23 °C (to Climatic zone 6),50,white,NA,Butterflies (1 spp.),NA,1 spp. of mammals,yes,yes,40-60 cm
Berlin,Achillea ptarmica,3,Sun to Half-shade,wet to moist,intermediate to N-rich,NA,permeable to normal,to -28 °C (to Climatic zone 5),70,white,Bees,Butterflies (2 spp.),NA,1 spp. of mammals,NA,NA,60-100 cm
Brandenburg,Achillea ptarmica,V,Sun to Half-shade,wet to moist,intermediate to N-rich,NA,permeable to normal,to -28 °C (to Climatic zone 5),70,white,Bees,Butterflies (2 spp.),NA,1 spp. of mammals,NA,NA,60-100 cm
Hamburg,Achillea ptarmica,V,Sun to Half-shade,wet to moist,intermediate to N-rich,NA,permeable to normal,to -28 °C (to Climatic zone 5),70,white,Bees,Butterflies (2 spp.),NA,1 spp. of mammals,NA,NA,60-100 cm
Mecklenburg-Western Pomerania,Achillea ptarmica,3,Sun to Half-shade,wet to moist,intermediate to N-rich,NA,permeable to normal,to -28 °C (to Climatic zone 5),70,white,Bees,Butterflies (2 spp.),NA,1 spp. of mammals,NA,NA,60-100 cm
North Rhine-Westphalia,Achillea ptarmica,V,Sun to Half-shade,wet to moist,intermediate to N-rich,NA,permeable to normal,to -28 °C (to Climatic zone 5),70,white,Bees,Butterflies (2 spp.),NA,1 spp. of mammals,NA,NA,60-100 cm
Saxony-Anhalt,Achillea ptarmica,V,Sun to Half-shade,wet to moist,intermediate to N-rich,NA,permeable to normal,to -28 °C (to Climatic zone 5),70,white,Bees,Butterflies (2 spp.),NA,1 spp. of mammals,NA,NA,60-100 cm
Schleswig-Holstein,Achillea ptarmica,3,Sun to Half-shade,wet to moist,intermediate to N-rich,NA,permeable to normal,to -28 °C (to Climatic zone 5),70,white,Bees,Butterflies (2 spp.),NA,1 spp. of mammals,NA,NA,60-100 cm
Thuringia,Achillea ptarmica,2,Sun to Half-shade,wet to moist,intermediate to N-rich,NA,permeable to normal,to -28 °C (to Climatic zone 5),70,white,Bees,Butterflies (2 spp.),NA,1 spp. of mammals,NA,NA,60-100 cm
Berlin,Achillea salicifolia,0,Sun to Half-shade,wet to moist,intermediate,NA,NA,NA,60,white,NA,NA,NA,NA,NA,NA,40-60 cm
Brandenburg,Achillea salicifolia,G,Sun to Half-shade,wet to moist,intermediate,NA,NA,NA,60,white,NA,NA,NA,NA,NA,NA,40-60 cm
Saxony-Anhalt,Achillea salicifolia,V,Sun to Half-shade,wet to moist,intermediate,NA,NA,NA,60,white,NA,NA,NA,NA,NA,NA,40-60 cm
Berlin,Acinos arvensis,3,Sun,dry,N-poor,alkaline,permeable,to -12 °C (to Climatic zone 8),30,blue,Bees (2 spp.),NA,NA,NA,NA,NA,0-40 cm
Bremen/Lower Saxony,Acinos arvensis,V,Sun,dry,N-poor,alkaline,permeable,to -12 °C (to Climatic zone 8),30,blue,Bees (2 spp.),NA,NA,NA,NA,NA,0-40 cm
Hamburg,Acinos arvensis,1,Sun,dry,N-poor,alkaline,permeable,to -12 °C (to Climatic zone 8),30,blue,Bees (2 spp.),NA,NA,NA,NA,NA,0-40 cm
Mecklenburg-Western Pomerania,Acinos arvensis,V,Sun,dry,N-poor,alkaline,permeable,to -12 °C (to Climatic zone 8),30,blue,Bees (2 spp.),NA,NA,NA,NA,NA,0-40 cm
North Rhine-Westphalia,Acinos arvensis,3,Sun,dry,N-poor,alkaline,permeable,to -12 °C (to Climatic zone 8),30,blue,Bees (2 spp.),NA,NA,NA,NA,NA,0-40 cm
Saarland,Acinos arvensis,3,Sun,dry,N-poor,alkaline,permeable,to -12 °C (to Climatic zone 8),30,blue,Bees (2 spp.),NA,NA,NA,NA,NA,0-40 cm
Saxony,Acinos arvensis,2,Sun,dry,N-poor,alkaline,permeable,to -12 °C (to Climatic zone 8),30,blue,Bees (2 spp.),NA,NA,NA,NA,NA,0-40 cm
Saxony-Anhalt,Acinos arvensis,V,Sun,dry,N-poor,alkaline,permeable,to -12 °C (to Climatic zone 8),30,blue,Bees (2 spp.),NA,NA,NA,NA,NA,0-40 cm
Schleswig-Holstein,Acinos arvensis,2,Sun,dry,N-poor,alkaline,permeable,to -12 °C (to Climatic zone 8),30,blue,Bees (2 spp.),NA,NA,NA,NA,NA,0-40 cm
Thuringia,Acinos arvensis,R,Sun,dry,N-poor,alkaline,permeable,to -12 °C (to Climatic zone 8),30,blue,Bees (2 spp.),NA,NA,NA,NA,NA,0-40 cm
Bremen/Lower Saxony,Aconitum lycoctonum,3,Sun to Shade,moist,N-rich,NA,normal to loamy,NA,120,yellow,Bees,Butterflies (2 spp.),NA,2 spp. of mammals,NA,NA,100+ cm
North Rhine-Westphalia,Aconitum lycoctonum,3,Sun to Shade,moist,N-rich,NA,normal to loamy,NA,120,yellow,Bees,Butterflies (2 spp.),NA,2 spp. of mammals,NA,NA,100+ cm
Saarland,Aconitum lycoctonum,R,Sun to Shade,moist,N-rich,NA,normal to loamy,NA,120,yellow,Bees,Butterflies (2 spp.),NA,2 spp. of mammals,NA,NA,100+ cm
Saxony,Aconitum lycoctonum,1,Sun to Shade,moist,N-rich,NA,normal to loamy,NA,120,yellow,Bees,Butterflies (2 spp.),NA,2 spp. of mammals,NA,NA,100+ cm
Rhineland-Palatinate,Aconitum napellus,3,Sun to Half-shade,wet to moist,N-rich,NA,permeable to humus,to -28 °C (to Climatic zone 5),150,blue,Bees,Butterflies (5 spp.),NA,NA,NA,NA,100+ cm
Baden-Württemberg,Aconitum variegatum,V,Sun to Half-shade,wet to moist,N-rich,NA,normal to humus,to -28 °C (to Climatic zone 5),250,violet,Bees,Butterflies (2 spp.),NA,NA,NA,NA,100+ cm
Saxony,Aconitum variegatum,3,Sun to Half-shade,wet to moist,N-rich,NA,normal to humus,to -28 °C (to Climatic zone 5),250,violet,Bees,Butterflies (2 spp.),NA,NA,NA,NA,100+ cm
Saxony-Anhalt,Aconitum variegatum,2,Sun to Half-shade,wet to moist,N-rich,NA,normal to humus,to -28 °C (to Climatic zone 5),250,violet,Bees,Butterflies (2 spp.),NA,NA,NA,NA,100+ cm
Brandenburg,Actaea spicata,V,Half-shade to Shade,wet,N-rich,NA,loamy,to -28 °C (to Climatic zone 5),60,white,NA,Butterflies (6 spp.),NA,6 spp. of mammals,NA,NA,40-60 cm
Hamburg,Actaea spicata,0,Half-shade to Shade,wet,N-rich,NA,loamy,to -28 °C (to Climatic zone 5),60,white,NA,Butterflies (6 spp.),NA,6 spp. of mammals,NA,NA,40-60 cm
Saxony,Actaea spicata,3,Half-shade to Shade,wet,N-rich,NA,loamy,to -28 °C (to Climatic zone 5),60,white,NA,Butterflies (6 spp.),NA,6 spp. of mammals,NA,NA,40-60 cm
Schleswig-Holstein,Actaea spicata,1,Half-shade to Shade,wet,N-rich,NA,loamy,to -28 °C (to Climatic zone 5),60,white,NA,Butterflies (6 spp.),NA,6 spp. of mammals,NA,NA,40-60 cm
Bavaria,Adenophora liliifolia,1,Sun to Half-shade,moist,N-rich,NA,permeable,NA,150,blue,Bees,NA,NA,NA,NA,NA,100+ cm
Baden-Württemberg,Adonis aestivalis,3,Sun,dry,intermediate,NA,permeable to normal,NA,60,red,NA,NA,NA,NA,NA,NA,40-60 cm
Bavaria,Adonis aestivalis,3,Sun,dry,intermediate,NA,permeable to normal,NA,60,red,NA,NA,NA,NA,NA,NA,40-60 cm
Brandenburg,Adonis aestivalis,1,Sun,dry,intermediate,NA,permeable to normal,NA,60,red,NA,NA,NA,NA,NA,NA,40-60 cm
Bremen/Lower Saxony,Adonis aestivalis,2,Sun,dry,intermediate,NA,permeable to normal,NA,60,red,NA,NA,NA,NA,NA,NA,40-60 cm
Hesse,Adonis aestivalis,2,Sun,dry,intermediate,NA,permeable to normal,NA,60,red,NA,NA,NA,NA,NA,NA,40-60 cm
Mecklenburg-Western Pomerania,Adonis aestivalis,0,Sun,dry,intermediate,NA,permeable to normal,NA,60,red,NA,NA,NA,NA,NA,NA,40-60 cm
Rhineland-Palatinate,Adonis aestivalis,2,Sun,dry,intermediate,NA,permeable to normal,NA,60,red,NA,NA,NA,NA,NA,NA,40-60 cm
Saarland,Adonis aestivalis,1,Sun,dry,intermediate,NA,permeable to normal,NA,60,red,NA,NA,NA,NA,NA,NA,40-60 cm
Saxony,Adonis aestivalis,1,Sun,dry,intermediate,NA,permeable to normal,NA,60,red,NA,NA,NA,NA,NA,NA,40-60 cm
Saxony-Anhalt,Adonis aestivalis,3,Sun,dry,intermediate,NA,permeable to normal,NA,60,red,NA,NA,NA,NA,NA,NA,40-60 cm
Bavaria,Adonis vernalis,2,Sun,moist to dry,N-poor,NA,permeable to normal,NA,20,yellow,Bees (2 spp.),NA,NA,NA,NA,"yes, small pots",0-40 cm
Brandenburg,Adonis vernalis,3,Sun,moist to dry,N-poor,NA,permeable to normal,NA,20,yellow,Bees (2 spp.),NA,NA,NA,NA,"yes, small pots",0-40 cm
Bremen/Lower Saxony,Adonis vernalis,2,Sun,moist to dry,N-poor,NA,permeable to normal,NA,20,yellow,Bees (2 spp.),NA,NA,NA,NA,"yes, small pots",0-40 cm
Rhineland-Palatinate,Adonis vernalis,2,Sun,moist to dry,N-poor,NA,permeable to normal,NA,20,yellow,Bees (2 spp.),NA,NA,NA,NA,"yes, small pots",0-40 cm
Saxony-Anhalt,Adonis vernalis,3,Sun,moist to dry,N-poor,NA,permeable to normal,NA,20,yellow,Bees (2 spp.),NA,NA,NA,NA,"yes, small pots",0-40 cm
Thuringia,Adonis vernalis,3,Sun,moist to dry,N-poor,NA,permeable to normal,NA,20,yellow,Bees (2 spp.),NA,NA,NA,NA,"yes, small pots",0-40 cm
Mecklenburg-Western Pomerania,Aethusa cynapium,V,NA,moist,NA,NA,loamy,NA,120,white,NA,NA,NA,NA,NA,NA,100+ cm
Schleswig-Holstein,Aethusa cynapium,V,NA,moist,NA,NA,loamy,NA,120,white,NA,NA,NA,NA,NA,NA,100+ cm
Hamburg,Agrimonia eupatoria,3,Sun to Half-shade,dry,N-poor to intermediate,NA,permeable to humus,to -17 °C (to Climatic zone 7),100,yellow,Bees,Butterflies (1 spp.),NA,1 spp. of mammals,NA,NA,60-100 cm
Schleswig-Holstein,Agrimonia eupatoria,3,Sun to Half-shade,dry,N-poor to intermediate,NA,permeable to humus,to -17 °C (to Climatic zone 7),100,yellow,Bees,Butterflies (1 spp.),NA,1 spp. of mammals,NA,NA,60-100 cm
Berlin,Agrimonia procera,1,Sun to Half-shade,dry,N-poor,NA,permeable,to -23 °C (to Climatic zone 6),100,yellow,Bees,NA,NA,NA,NA,NA,60-100 cm
Hamburg,Agrimonia procera,2,Sun to Half-shade,dry,N-poor,NA,permeable,to -23 °C (to Climatic zone 6),100,yellow,Bees,NA,NA,NA,NA,NA,60-100 cm
Saxony,Agrimonia procera,2,Sun to Half-shade,dry,N-poor,NA,permeable,to -23 °C (to Climatic zone 6),100,yellow,Bees,NA,NA,NA,NA,NA,60-100 cm
Schleswig-Holstein,Agrimonia procera,3,Sun to Half-shade,dry,N-poor,NA,permeable,to -23 °C (to Climatic zone 6),100,yellow,Bees,NA,NA,NA,NA,NA,60-100 cm
Thuringia,Agrimonia procera,0,Sun to Half-shade,dry,N-poor,NA,permeable,to -23 °C (to Climatic zone 6),100,yellow,Bees,NA,NA,NA,NA,NA,60-100 cm
Baden-Württemberg,Agrostemma githago,1,Sun to Half-shade,moist to dry,N-rich,NA,permeable to normal,NA,100,red,Bees,Butterflies (1 spp.),NA,1 spp. of mammals,NA,NA,60-100 cm
Bavaria,Agrostemma githago,1,Sun to Half-shade,moist to dry,N-rich,NA,permeable to normal,NA,100,red,Bees,Butterflies (1 spp.),NA,1 spp. of mammals,NA,NA,60-100 cm
Berlin,Agrostemma githago,0,Sun to Half-shade,moist to dry,N-rich,NA,permeable to normal,NA,100,red,Bees,Butterflies (1 spp.),NA,1 spp. of mammals,NA,NA,60-100 cm
Brandenburg,Agrostemma githago,1,Sun to Half-shade,moist to dry,N-rich,NA,permeable to normal,NA,100,red,Bees,Butterflies (1 spp.),NA,1 spp. of mammals,NA,NA,60-100 cm
Bremen/Lower Saxony,Agrostemma githago,0,Sun to Half-shade,moist to dry,N-rich,NA,permeable to normal,NA,100,red,Bees,Butterflies (1 spp.),NA,1 spp. of mammals,NA,NA,60-100 cm
Hamburg,Agrostemma githago,0,Sun to Half-shade,moist to dry,N-rich,NA,permeable to normal,NA,100,red,Bees,Butterflies (1 spp.),NA,1 spp. of mammals,NA,NA,60-100 cm
Hesse,Agrostemma githago,1,Sun to Half-shade,moist to dry,N-rich,NA,permeable to normal,NA,100,red,Bees,Butterflies (1 spp.),NA,1 spp. of mammals,NA,NA,60-100 cm
Mecklenburg-Western Pomerania,Agrostemma githago,1,Sun to Half-shade,moist to dry,N-rich,NA,permeable to normal,NA,100,red,Bees,Butterflies (1 spp.),NA,1 spp. of mammals,NA,NA,60-100 cm
Rhineland-Palatinate,Agrostemma githago,1,Sun to Half-shade,moist to dry,N-rich,NA,permeable to normal,NA,100,red,Bees,Butterflies (1 spp.),NA,1 spp. of mammals,NA,NA,60-100 cm
Saarland,Agrostemma githago,0,Sun to Half-shade,moist to dry,N-rich,NA,permeable to normal,NA,100,red,Bees,Butterflies (1 spp.),NA,1 spp. of mammals,NA,NA,60-100 cm
Saxony,Agrostemma githago,0,Sun to Half-shade,moist to dry,N-rich,NA,permeable to normal,NA,100,red,Bees,Butterflies (1 spp.),NA,1 spp. of mammals,NA,NA,60-100 cm
Saxony-Anhalt,Agrostemma githago,1,Sun to Half-shade,moist to dry,N-rich,NA,permeable to normal,NA,100,red,Bees,Butterflies (1 spp.),NA,1 spp. of mammals,NA,NA,60-100 cm
Schleswig-Holstein,Agrostemma githago,0,Sun to Half-shade,moist to dry,N-rich,NA,permeable to normal,NA,100,red,Bees,Butterflies (1 spp.),NA,1 spp. of mammals,NA,NA,60-100 cm
Thuringia,Agrostemma githago,V,Sun to Half-shade,moist to dry,N-rich,NA,permeable to normal,NA,100,red,Bees,Butterflies (1 spp.),NA,1 spp. of mammals,NA,NA,60-100 cm
Baden-Württemberg,Agrostis vinealis,V,NA,dry,N-poor,NA,permeable,NA,40,green,NA,Butterflies (1 spp.),NA,NA,NA,NA,0-40 cm
Bavaria,Agrostis vinealis,3,NA,dry,N-poor,NA,permeable,NA,40,green,NA,Butterflies (1 spp.),NA,NA,NA,NA,0-40 cm
Berlin,Agrostis vinealis,3,NA,dry,N-poor,NA,permeable,NA,40,green,NA,Butterflies (1 spp.),NA,NA,NA,NA,0-40 cm
Hamburg,Agrostis vinealis,G,NA,dry,N-poor,NA,permeable,NA,40,green,NA,Butterflies (1 spp.),NA,NA,NA,NA,0-40 cm
Hesse,Agrostis vinealis,V,NA,dry,N-poor,NA,permeable,NA,40,green,NA,Butterflies (1 spp.),NA,NA,NA,NA,0-40 cm
North Rhine-Westphalia,Agrostis vinealis,V,NA,dry,N-poor,NA,permeable,NA,40,green,NA,Butterflies (1 spp.),NA,NA,NA,NA,0-40 cm
Schleswig-Holstein,Agrostis vinealis,2,NA,dry,N-poor,NA,permeable,NA,40,green,NA,Butterflies (1 spp.),NA,NA,NA,NA,0-40 cm
Thuringia,Agrostis vinealis,1,NA,dry,N-poor,NA,permeable,NA,40,green,NA,Butterflies (1 spp.),NA,NA,NA,NA,0-40 cm
Baden-Württemberg,Ajuga chamaepitys,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bavaria,Ajuga chamaepitys,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bremen/Lower Saxony,Ajuga chamaepitys,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hesse,Ajuga chamaepitys,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Rhine-Westphalia,Ajuga chamaepitys,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhineland-Palatinate,Ajuga chamaepitys,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saarland,Ajuga chamaepitys,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saxony-Anhalt,Ajuga chamaepitys,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thuringia,Ajuga chamaepitys,V,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Berlin,Ajuga genevensis,3,Sun to Half-shade,dry,N-rich,NA,NA,to -28 °C (to Climatic zone 5),30,blue,Bees (6 spp.),Butterflies (2 spp.),NA,NA,NA,"yes, medium pots",0-40 cm
Brandenburg,Ajuga genevensis,V,Sun to Half-shade,dry,N-rich,NA,NA,to -28 °C (to Climatic zone 5),30,blue,Bees (6 spp.),Butterflies (2 spp.),NA,NA,NA,"yes, medium pots",0-40 cm
Bremen/Lower Saxony,Ajuga genevensis,3,Sun to Half-shade,dry,N-rich,NA,NA,to -28 °C (to Climatic zone 5),30,blue,Bees (6 spp.),Butterflies (2 spp.),NA,NA,NA,"yes, medium pots",0-40 cm
Hamburg,Ajuga genevensis,0,Sun to Half-shade,dry,N-rich,NA,NA,to -28 °C (to Climatic zone 5),30,blue,Bees (6 spp.),Butterflies (2 spp.),NA,NA,NA,"yes, medium pots",0-40 cm
Mecklenburg-Western Pomerania,Ajuga genevensis,3,Sun to Half-shade,dry,N-rich,NA,NA,to -28 °C (to Climatic zone 5),30,blue,Bees (6 spp.),Butterflies (2 spp.),NA,NA,NA,"yes, medium pots",0-40 cm
North Rhine-Westphalia,Ajuga genevensis,3,Sun to Half-shade,dry,N-rich,NA,NA,to -28 °C (to Climatic zone 5),30,blue,Bees (6 spp.),Butterflies (2 spp.),NA,NA,NA,"yes, medium pots",0-40 cm
Saarland,Ajuga genevensis,V,Sun to Half-shade,dry,N-rich,NA,NA,to -28 °C (to Climatic zone 5),30,blue,Bees (6 spp.),Butterflies (2 spp.),NA,NA,NA,"yes, medium pots",0-40 cm
Saxony,Ajuga genevensis,3,Sun to Half-shade,dry,N-rich,NA,NA,to -28 °C (to Climatic zone 5),30,blue,Bees (6 spp.),Butterflies (2 spp.),NA,NA,NA,"yes, medium pots",0-40 cm
Schleswig-Holstein,Ajuga genevensis,2,Sun to Half-shade,dry,N-rich,NA,NA,to -28 °C (to Climatic zone 5),30,blue,Bees (6 spp.),Butterflies (2 spp.),NA,NA,NA,"yes, medium pots",0-40 cm
Thuringia,Ajuga genevensis,1,Sun to Half-shade,dry,N-rich,NA,NA,to -28 °C (to Climatic zone 5),30,blue,Bees (6 spp.),Butterflies (2 spp.),NA,NA,NA,"yes, medium pots",0-40 cm
Berlin,Ajuga reptans,1,Sun to Half-shade,wet to moist,N-rich,acidic,NA,to -23 °C (to Climatic zone 6),30,blue,Bees (11 spp.),Butterflies (11 spp.),NA,1 spp. of mammals,NA,yes,0-40 cm
Bavaria,Alchemilla alpina,R,Sun,moist,intermediate,NA,permeable,to -28 °C (to Climatic zone 5),15,yellow,NA,NA,NA,NA,NA,yes,0-40 cm
Baden-Württemberg,Alchemilla hoppeana,R,Sun,moist,N-poor,NA,permeable,to -23 °C (to Climatic zone 6),20,yellow,NA,NA,NA,NA,NA,yes,0-40 cm
Berlin,Alchemilla vulgaris,0,Sun to Shade,wet to moist,N-rich,NA,loamy,to -28 °C (to Climatic zone 5),60,yellow,Bees,NA,NA,NA,NA,yes,40-60 cm
Brandenburg,Alchemilla vulgaris,1,Sun to Shade,wet to moist,N-rich,NA,loamy,to -28 °C (to Climatic zone 5),60,yellow,Bees,NA,NA,NA,NA,yes,40-60 cm
Hamburg,Alchemilla vulgaris,G,Sun to Shade,wet to moist,N-rich,NA,loamy,to -28 °C (to Climatic zone 5),60,yellow,Bees,NA,NA,NA,NA,yes,40-60 cm
Mecklenburg-Western Pomerania,Alchemilla vulgaris,0,Sun to Shade,wet to moist,N-rich,NA,loamy,to -28 °C (to Climatic zone 5),60,yellow,Bees,NA,NA,NA,NA,yes,40-60 cm
Saarland,Alchemilla vulgaris,R,Sun to Shade,wet to moist,N-rich,NA,loamy,to -28 °C (to Climatic zone 5),60,yellow,Bees,NA,NA,NA,NA,yes,40-60 cm
Saxony,Alchemilla vulgaris,V,Sun to Shade,wet to moist,N-rich,NA,loamy,to -28 °C (to Climatic zone 5),60,yellow,Bees,NA,NA,NA,NA,yes,40-60 cm
Schleswig-Holstein,Alchemilla vulgaris,3,Sun to Shade,wet to moist,N-rich,NA,loamy,to -28 °C (to Climatic zone 5),60,yellow,Bees,NA,NA,NA,NA,yes,40-60 cm
Brandenburg,Alchemilla xanthochlora,1,Sun to Half-shade,wet to moist,intermediate,NA,permeable to humus,to -28 °C (to Climatic zone 5),30,yellow,Bees,NA,NA,NA,NA,yes,0-40 cm
Mecklenburg-Western Pomerania,Alchemilla xanthochlora,1,Sun to Half-shade,wet to moist,intermediate,NA,permeable to humus,to -28 °C (to Climatic zone 5),30,yellow,Bees,NA,NA,NA,NA,yes,0-40 cm
Saxony,Alchemilla xanthochlora,V,Sun to Half-shade,wet to moist,intermediate,NA,permeable to humus,to -28 °C (to Climatic zone 5),30,yellow,Bees,NA,NA,NA,NA,yes,0-40 cm
Schleswig-Holstein,Alchemilla xanthochlora,2,Sun to Half-shade,wet to moist,intermediate,NA,permeable to humus,to -28 °C (to Climatic zone 5),30,yellow,Bees,NA,NA,NA,NA,yes,0-40 cm
Bavaria,Alisma lanceolatum,3,Sun,wet,N-rich,NA,NA,to -23 °C (to Climatic zone 6),90,rose,NA,NA,NA,NA,NA,NA,60-100 cm
Berlin,Alisma lanceolatum,1,Sun,wet,N-rich,NA,NA,to -23 °C (to Climatic zone 6),90,rose,NA,NA,NA,NA,NA,NA,60-100 cm
Brandenburg,Alisma lanceolatum,3,Sun,wet,N-rich,NA,NA,to -23 °C (to Climatic zone 6),90,rose,NA,NA,NA,NA,NA,NA,60-100 cm
Hamburg,Alisma lanceolatum,1,Sun,wet,N-rich,NA,NA,to -23 °C (to Climatic zone 6),90,rose,NA,NA,NA,NA,NA,NA,60-100 cm
Mecklenburg-Western Pomerania,Alisma lanceolatum,2,Sun,wet,N-rich,NA,NA,to -23 °C (to Climatic zone 6),90,rose,NA,NA,NA,NA,NA,NA,60-100 cm
Saarland,Alisma lanceolatum,3,Sun,wet,N-rich,NA,NA,to -23 °C (to Climatic zone 6),90,rose,NA,NA,NA,NA,NA,NA,60-100 cm
Schleswig-Holstein,Alisma lanceolatum,1,Sun,wet,N-rich,NA,NA,to -23 °C (to Climatic zone 6),90,rose,NA,NA,NA,NA,NA,NA,60-100 cm
Thuringia,Alisma lanceolatum,1,Sun,wet,N-rich,NA,NA,to -23 °C (to Climatic zone 6),90,rose,NA,NA,NA,NA,NA,NA,60-100 cm
Schleswig-Holstein,Alisma plantago-aquatica,V,Sun to Half-shade,aquatic,N-rich,acidic,loamy,to -23 °C (to Climatic zone 6),90,white,Bees,Butterflies (1 spp.),NA,2 spp. of mammals,NA,yes,60-100 cm
Baden-Württemberg,Allium angulosum,3,Sun to Half-shade,wet to moist,N-rich,NA,permeable to loamy,to -17 °C (to Climatic zone 7),50,rose,Bees (1 spp.),Butterflies (1 spp.),NA,NA,NA,NA,40-60 cm
Bavaria,Allium angulosum,3,Sun to Half-shade,wet to moist,N-rich,NA,permeable to loamy,to -17 °C (to Climatic zone 7),50,rose,Bees (1 spp.),Butterflies (1 spp.),NA,NA,NA,NA,40-60 cm
Berlin,Allium angulosum,1,Sun to Half-shade,wet to moist,N-rich,NA,permeable to loamy,to -17 °C (to Climatic zone 7),50,rose,Bees (1 spp.),Butterflies (1 spp.),NA,NA,NA,NA,40-60 cm
Brandenburg,Allium angulosum,3,Sun to Half-shade,wet to moist,N-rich,NA,permeable to loamy,to -17 °C (to Climatic zone 7),50,rose,Bees (1 spp.),Butterflies (1 spp.),NA,NA,NA,NA,40-60 cm
Bremen/Lower Saxony,Allium angulosum,2,Sun to Half-shade,wet to moist,N-rich,NA,permeable to loamy,to -17 °C (to Climatic zone 7),50,rose,Bees (1 spp.),Butterflies (1 spp.),NA,NA,NA,NA,40-60 cm
Hamburg,Allium angulosum,R,Sun to Half-shade,wet to moist,N-rich,NA,permeable to loamy,to -17 °C (to Climatic zone 7),50,rose,Bees (1 spp.),Butterflies (1 spp.),NA,NA,NA,NA,40-60 cm
Hesse,Allium angulosum,2,Sun to Half-shade,wet to moist,N-rich,NA,permeable to loamy,to -17 °C (to Climatic zone 7),50,rose,Bees (1 spp.),Butterflies (1 spp.),NA,NA,NA,NA,40-60 cm
Mecklenburg-Western Pomerania,Allium angulosum,2,Sun to Half-shade,wet to moist,N-rich,NA,permeable to loamy,to -17 °C (to Climatic zone 7),50,rose,Bees (1 spp.),Butterflies (1 spp.),NA,NA,NA,NA,40-60 cm
North Rhine-Westphalia,Allium angulosum,0,Sun to Half-shade,wet to moist,N-rich,NA,permeable to loamy,to -17 °C (to Climatic zone 7),50,rose,Bees (1 spp.),Butterflies (1 spp.),NA,NA,NA,NA,40-60 cm
Rhineland-Palatinate,Allium angulosum,2,Sun to Half-shade,wet to moist,N-rich,NA,permeable to loamy,to -17 °C (to Climatic zone 7),50,rose,Bees (1 spp.),Butterflies (1 spp.),NA,NA,NA,NA,40-60 cm
