"Wissenschaftlicher Name","Deutscher Name","Produzent","URL"
"Helleborus viridis","Grüne Niewswurz","Rieger-Hofmann",NA
"Hieracium bauhini","Ungarisches Habichtskraut","Rieger-Hofmann",NA
"Hieracium hoppeanum","Hoppes Habichtskraut","Rieger-Hofmann",NA
"Hieracium lactucella","Geöhrtes Habichtskraut","Rieger-Hofmann",NA
"Hierochloe odorata","Duftendes Mariengras","Rieger-Hofmann",NA
"Hippocrepis emerus","Strauchwicke,Strauchkronwicke","Rieger-Hofmann",NA
"Hippuris vulgaris","Gewöhnlicher Tannenwedel,Gemeiner Tannenwedel","Rieger-Hofmann",NA
"Homogyne alpina","Gewöhnlicher Alpenlattich","Rieger-Hofmann",NA
"Hottonia palustris","Wasserfeder,Wasserprimel","Rieger-Hofmann",NA
"Hydrocharis morsus-ranae","Europäischer Froschbiss","Rieger-Hofmann",NA
"Hydrocotyle vulgaris","Gewöhnlicher Wassernabel","Rieger-Hofmann",NA
"Hyoscyamus niger","Schwarzes Bilsenkraut","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=3"
"Hypochaeris glabra","Kahles Ferkelkraut","Rieger-Hofmann",NA
"Hypochaeris maculata","Geflecktes Ferkelkraut","Rieger-Hofmann",NA
"Hyssopus officinalis","Ysop","Rieger-Hofmann",NA
"Iberis amara","Bittere Schleifenblume","Rieger-Hofmann",NA
"Inula britannica","Wiesen-Alant","Rieger-Hofmann",NA
"Inula hirta","Rauer Alant","Rieger-Hofmann",NA
"Iris germanica","Deutsche Schwertlilie,Bart-Iris","Rieger-Hofmann",NA
"Iris sibirica","Sibirische Schwertlilie,Wiesen-Schwertlilie, Blaue Schwertlilie","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=3"
"Iris variegata","Bunte Schwertlilie","Rieger-Hofmann",NA
"Jasione laevis","Ausdauerndes Sandglöckchen","Rieger-Hofmann",NA
"Jasione montana","Berg-Sandglöckchen,Schafrapunzel","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=3"
"Juncus subnodulosus","Stumpfblütige Binse","Rieger-Hofmann",NA
"Koeleria glauca","Blaugraue Kammschmiele,Schillergras","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/graeser.html?tt_products%5Bpp%5D=0"
"Lactuca perennis","Blauer Lattich","Rieger-Hofmann",NA
"Lactuca virosa","Gift-Lattich","Rieger-Hofmann",NA
"Laserpitium prutenicum","Preußisches Laserkraut","Rieger-Hofmann",NA
"Laserpitium siler","Berg-Laserkraut,Bergkümmel","Rieger-Hofmann",NA
"Lathyrus aphaca","Ranken-Platterbse","Rieger-Hofmann",NA
"Lathyrus heterophyllus","Verschiedenblättrige Platterbs","Rieger-Hofmann",NA
"Lathyrus palustris","Sumpf-Platterbse","Rieger-Hofmann",NA
"Ledum palustre","Sumpf-Porst","Rieger-Hofmann",NA
"Legousia speculum-veneris","Venus-Frauenspiegel","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=3"
"Leucojum vernum","Märzenbecher","Rieger-Hofmann",NA
"Linaria alpina","Alpen-Leinkraut","Rieger-Hofmann",NA
"Linum flavum","Gelber Lein","Rieger-Hofmann",NA
"Linum perenne","Blauer Lein,Dauerlein, Stauden-Lein","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/arznei-gewuerz-und-kulturpflanzen.html?tt_products%5Bpp%5D=0"
"Linum tenuifolium","Schmalblättriger Lein","Rieger-Hofmann",NA
"Lithospermum officinale","Echter Steinsame","Rieger-Hofmann",NA
"Lolium temulentum","Taumel-Lolch,Rauschgras, Schwindelweizen,","Rieger-Hofmann",NA
"Lonicera caerulea","Blaue Heckenkirsche","Rieger-Hofmann",NA
"Lotus maritimus","Gelbe Spargelerbse","Rieger-Hofmann",NA
"Lychnis viscaria","Pechnelke","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=3"
"Lysimachia thyrsiflora","Strauß-Gilbweiderich","Rieger-Hofmann",NA
"Lythrum hyssopifolia","Ysopblättriger Weiderich","Rieger-Hofmann",NA
"Malus sylvestris","Wildapfel,Holzapfel","Rieger-Hofmann",NA
"Marrubium vulgare","Gewöhnlicher Andorn,Mäuseohr","Rieger-Hofmann",NA
"Matteuccia struthiopteris","Deutscher Straußenfarn","Rieger-Hofmann",NA
"Melampyrum arvense","Acker-Wachtelweizen","Rieger-Hofmann",NA
"Melica ciliata","Wimper-Perlgras","Rieger-Hofmann",NA
"Melica transsilvanica","Siebenbürgisches Perlgras","Rieger-Hofmann",NA
"Mentha pulegium","Polei-Minze","Rieger-Hofmann",NA
"Menyanthes trifoliata","Fieberklee,Bitterklee","Rieger-Hofmann",NA
"Mespilus germanica","Echte Mispel","Rieger-Hofmann",NA
"Meum athamanticum","Bärwurz","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=4"
"Misopates orontium","Acker-Löwenmaul","Rieger-Hofmann",NA
"Moehringia muscosa","Moos-Nabelmiere","Rieger-Hofmann",NA
"Muscari botryoides","Kleine Traubenhyazinthe,Straußhyazinthe","Rieger-Hofmann",NA
"Muscari comosum","Schopfige Traubenhyazinthe","Rieger-Hofmann",NA
"Muscari neglectum","Weinbergs-Träubel","Rieger-Hofmann",NA
"Myosotis rehsteineri","Rehsteiners Vergissmeinnicht,Bodensee-Vergissmeinnicht","Rieger-Hofmann",NA
"Myricaria germanica","Deutsche Tamariske,Rispelstrauch","Rieger-Hofmann",NA
"Myriophyllum verticillatum","Quirliges Tausendblatt","Rieger-Hofmann",NA
"Nepeta cataria","Katzenminze","Rieger-Hofmann",NA
"Nigella arvensis","Acker-Schwarzkümmel","Rieger-Hofmann",NA
"Nonea pulla","Braunes Mönchskraut,Dunkles Runzelnüsschen, Napfkraut","Rieger-Hofmann",NA
"Nymphaea alba","Weiße Seerose,Wasserlilie","Rieger-Hofmann",NA
"Nymphaea candida","Kleine Seerose","Rieger-Hofmann",NA
"Nymphoides peltata","Europäische Seekanne,Teichenzian","Rieger-Hofmann",NA
"Odontites luteus","Gelber Zahntrost","Rieger-Hofmann",NA
"Oenanthe peucedanifolia","Haarstrangblättriger Wasserfenchel","Rieger-Hofmann",NA
"Onobrychis montana","Berg-Esparsette","Rieger-Hofmann",NA
"Ononis natrix","Gelbe Hauhechel","Rieger-Hofmann",NA
"Onopordum acanthium","Gewöhnliche Eselsdistel","Rieger-Hofmann",NA
"Orlaya grandiflora","Strahlen-Breitsame","Rieger-Hofmann",NA
"Ornithogalum nutans","Nickender Milchstern,Nickende Vogelmilch","Rieger-Hofmann",NA
"Ornithopus perpusillus","Kleiner Vogelfuß,Mäusewicke","Rieger-Hofmann",NA
"Osmunda regalis","Königsfarn","Rieger-Hofmann",NA
"Oxytropis pilosa","Steppen-Spitzkiel","Rieger-Hofmann",NA
"Papaver argemone","Sand-Mohn","Rieger-Hofmann",NA
"Papaver dubium","Saat-Mohn","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=4"
"Petrorhagia prolifera","Sprossende Felsennelke","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=4"
"Peucedanum alsaticum","Elsässer Haarstrang","Rieger-Hofmann",NA
"Peucedanum carvifolia","Kümmel-Haarstrang,Kümmelblatt-Haarstrang","Rieger-Hofmann",NA
"Peucedanum cervaria","Hirschwurz-Haarstrang","Rieger-Hofmann",NA
"Peucedanum officinale","Echter Haarstrang","Rieger-Hofmann",NA
"Peucedanum oreoselinum","Berg-Haarstrang","Rieger-Hofmann",NA
"Peucedanum ostruthium","Meisterwurz","Rieger-Hofmann",NA
"Peucedanum palustre","Sumpf-Haarstrang","Rieger-Hofmann",NA
"Phleum phleoides","Steppen-Lieschgras","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/graeser.html?tt_products%5Bpp%5D=1"
"Phleum phleoides","Steppen-Lieschgras","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/graeser.html?tt_products%5Bpp%5D=1"
"Phyteuma orbiculare","Kugelige Teufelskralle","Rieger-Hofmann",NA
"Platanthera bifolia","Weiße Waldhyazinthe","Rieger-Hofmann",NA
"Platanthera chlorantha","Grünliche Waldhyazinthe","Rieger-Hofmann",NA
"Poa alpina","Alpen-Rispengras","Rieger-Hofmann",NA
"Polemonium caeruleum","Blaue Himmelsleiter,Jakobsleiter","Rieger-Hofmann",NA
"Polystichum braunii","Brauns Schildfarn","Rieger-Hofmann",NA
"Populus nigra","Schwarz-Pappel,Saarbaum","Rieger-Hofmann",NA
"Potentilla alba","Weißes Fingerkraut","Rieger-Hofmann",NA
"Potentilla aurea","Gold-Fingerkraut","Rieger-Hofmann",NA
"Potentilla incana","Sand-Fingerkraut","Rieger-Hofmann",NA
"Potentilla palustris","Sumpfblutauge,Sumpf-Fingerkraut","Rieger-Hofmann",NA
"Potentilla rupestris","Felsen-Fingerkraut","Rieger-Hofmann",NA
"Primula auricula","Alpen-Aurikel","Rieger-Hofmann",NA
"Primula hirsuta","Behaarte Primel","Rieger-Hofmann",NA
"Primula vulgaris","Stängellose Schlüsselblume","Rieger-Hofmann",NA
"Prunella grandiflora","Großblütige Braunelle","Rieger-Hofmann",NA
"Pseudolysimachion longifolium","Langblättriger Ehrenpreis","Rieger-Hofmann",NA
"Pulmonaria mollis","Weiches Lungenkraut","Rieger-Hofmann",NA
"Pulsatilla vulgaris","Gewöhnliche Kuhschelle","Rieger-Hofmann",NA
"Pyrus pyraster","Wildbirne","Rieger-Hofmann",NA
"Quercus pubescens","Flaum-Eiche","Rieger-Hofmann",NA
"Ranunculus aquatilis","Gewöhnlicher Wasserhahnenfuß","Rieger-Hofmann",NA
