"Wissenschaftlicher Name","Deutscher Name","Produzent","URL"
"Aster linosyris","Goldhaar-Aster","Rieger-Hofmann",NA
"Aster macrophyllus","Großblättrige Aster,Eurybia macrophylla","Rieger-Hofmann",NA
"Astragalus alpinus","Alpen-Tragant","Rieger-Hofmann",NA
"Astragalus cicer","Kicher-Tragant","Rieger-Hofmann",NA
"Astragalus glycyphyllos","Bärenschote","Rieger-Hofmann",NA
"Astrantia bavarica","Bayerische Sterndolde","Rieger-Hofmann",NA
"Astrantia major","Große Sterndolde","Rieger-Hofmann",NA
"Athamanta cretensis","Alpen-Augenwurz,Zottige Augenwurz","Rieger-Hofmann",NA
"Atriplex calotheca","Pfeilblättrige Melde","Rieger-Hofmann",NA
"Azolla filiculoides","Großer Algenfarn,Farnähnlichee Algenfarn","Rieger-Hofmann",NA
"Baldellia ranunculoides","Igelschlauch","Rieger-Hofmann",NA
"Ballota nigra","Schwarznessel","Rieger-Hofmann",NA
"Barbarea stricta","Steife Winterkresse,Steifes Barbarakraut","Rieger-Hofmann",NA
"Barbarea vulgaris","Winterkresse,Barbarkraut","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=0"
"Bartsia alpina","Alpen-Bartschie,Alpenhelm","Rieger-Hofmann",NA
"Berberis vulgaris","Berberitze,Sauerdorn","Rieger-Hofmann",NA
"Berteroa incana","Graukresse","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=0"
"Berula erecta","Berle,Kleiner Merk, Schmalblättriger Merk","Rieger-Hofmann",NA
"Betula humilis","Niedrige Birke","Rieger-Hofmann",NA
"Betula nana","Zwerg-Birke","Rieger-Hofmann",NA
"Betula pubescens","Moor-Birke","Rieger-Hofmann",NA
"Bidens tripartita","Dreiteiliger Zweizahn","Rieger-Hofmann",NA
"Biscutella laevigata","Glatt-Brillenschötchen","Rieger-Hofmann",NA
"Bistorta officinalis","Schlangen-Wiesenknöterich","Rieger-Hofmann",NA
"Blechnum spicant","Rippenfarn,Waldrippenfarn","Rieger-Hofmann",NA
"Bolboschoenus maritimus","Gewöhnliche Strandsimse,Strandbinse","Rieger-Hofmann",NA
"Brachypodium pinnatum","Fieder-Zwenke","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/graeser.html?tt_products%5Bpp%5D=0"
"Brachypodium sylvaticum","Wald-Zwenke","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/graeser.html?tt_products%5Bpp%5D=0"
"Brassica nigra","Schwarzer Senf","Rieger-Hofmann",NA
"Briza media","Gewöhnliches Zittergras","Rieger-Hofmann",NA
"Bromus erectus","Aufrechte Trespe","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/graeser.html?tt_products%5Bpp%5D=0"
"Bryonia alba","Weiße Zaunrübe","Rieger-Hofmann",NA
"Bryonia dioica","Rotfrüchtige Zaunrübe","Rieger-Hofmann",NA
"Buglossoides purpurocaerulea","Purpurblauer Steinsame,Purpurblaue Rindszunge","Rieger-Hofmann",NA
