"Wissenschaftlicher Name","Deutscher Name","Produzent","URL"
"Valeriana dioica","Kleiner Baldrian","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/shop-2700-Kleiner_Baldrian_SumpfBaldrian_Valeriana_dioica.htm"
"Valeriana officinalis","Echter Baldrian","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/shop-833-Echter_Baldrian_Valeriana_officinalis.htm"
"Valeriana officinalis","Echter Baldrian","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/shop-2702-Echter_Baldrian_Valeriana_officinalis.htm"
"Valeriana officinalis","Echter Baldrian","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/shop-3508-Echter_Baldrian_Valeriana_officinalis.htm"
"Valeriana sambucifolia","Holunderblättriger Baldrian","Kräuter- und Wildpflanzen-Gärtnerei Strickler",NA
"Valerianella carinata","Gekielter Feldsalat","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/shop-43457-Gekiehlter_Ackersalat_Valerianella_carinata_SA_fA¼r_10_qm.htm"
"Valerianella locusta","Feldsalat","Kräuter- und Wildpflanzen-Gärtnerei Strickler",NA
"Verbascum blattaria","Motten-Königskerze,Schaben-Königskerze, Schabenkraut","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/shop-2767-SchabenKA¶nigskerze_MottenK_Verbascum_blattaria.htm"
"Verbascum densiflorum","Großblütige Königskerze","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/shop-2708-GroAblA¼tige_KA¶nigskerze_Verbascum_densiflorum_thapsiforme.htm"
"Verbascum densiflorum","Großblütige Königskerze","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/shop-3509-GroAblA¼tige_KA¶nigskerze_Verbascum_densiflorum_thapsiforme.htm"
"Verbascum lychnitis","Mehlige Königskerze","Kräuter- und Wildpflanzen-Gärtnerei Strickler",NA
"Verbascum phlomoides","Windblumen-Königskerze,Gewöhnlich-Königskerze, Windlicht-Königskerze","Kräuter- und Wildpflanzen-Gärtnerei Strickler",NA
"Verbascum phoeniceum","Violette Königskerze,Purpur-Königskerze, Phönizische Königskerze","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/shop-2703-PurpurKA¶nigskerze_Verbascum_phoeniceum.htm"
"Verbascum phoeniceum","Violette Königskerze,Purpur-Königskerze, Phönizische Königskerze","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/shop-2704-WeiAe_PurpurKA¶nigskerze_Verbascum_phoeniceum_Alba.htm"
"Verbascum pulverulentum","Flockige Königskerze","Kräuter- und Wildpflanzen-Gärtnerei Strickler",NA
"Verbascum thapsus","Kleinblütige Königskerze,Echte Königskerze","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/shop-2709-KleinblA¼tige_KA¶nigskerze_Verbascum_thapsus.htm"
"Verbascum thapsus","Kleinblütige Königskerze,Echte Königskerze","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/shop-3510-KleinblA¼tige_KA¶nigskerze_Verbascum_thapsus.htm"
"Verbena officinalis","Echtes Eisenkraut,Taubenkraut, Katzenblutkraut, Sagenkraut, Verbene, Wunschkraut","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/shop-2710-Echtes_Eisenkraut_Verbena_officinalis_zur_Zeit_nicht_lieferbar.htm"
"Verbena officinalis","Echtes Eisenkraut,Taubenkraut, Katzenblutkraut, Sagenkraut, Verbene, Wunschkraut","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/shop-41576-Echtes_Eisenkraut_Verbena_officinalis_zur_Zeit_nicht_lieferbar.htm"
"Veronica austriaca","Österreichischer Ehrenpreis","Kräuter- und Wildpflanzen-Gärtnerei Strickler",NA
"Veronica beccabunga","Bachbunge","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/shop-834-BachbungenEhrenpreis_Veronica_beccabunga.htm"
"Veronica beccabunga","Bachbunge","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/shop-3511-BachbungenEhrenpreis_Veronica_beccabunga.htm"
"Veronica fruticulosa","Halbstrauchehrenpreis,Strauchiger Ehrenpreis","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/shop-1238-HalbstrauchEhrenpreis_Veronica_fruticulosa_zur_Zeit_nicht_lieferbar.htm"
"Veronica fruticulosa","Halbstrauchehrenpreis,Strauchiger Ehrenpreis","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/shop-2712-HalbstrauchEhrenpreis_Veronica_fruticulosa_zur_Zeit_nicht_lieferbar.htm"
"Veronica longifolia","Langblättriger Ehrenpreis","Kräuter- und Wildpflanzen-Gärtnerei Strickler",NA
"Veronica officinalis","Echter Ehrenpreis,Waldehrenpreis","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/shop-2719-WaldEhrenpreis_Veronica_officinalis.htm"
"Veronica officinalis","Echter Ehrenpreis,Waldehrenpreis","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/shop-3512-WaldEhrenpreis_Veronica_officinalis.htm"
"Veronica prostrata","Niederliegender Ehrenpreis","Kräuter- und Wildpflanzen-Gärtnerei Strickler",NA
"Veronica spicata","Ähriger Ehrenpreis,Pseudolysimachion spicatum","Kräuter- und Wildpflanzen-Gärtnerei Strickler",NA
"Veronica spuria","Rispiger Blauweiderich","Kräuter- und Wildpflanzen-Gärtnerei Strickler",NA
"Veronica teucrium","Großer Ehrenpreis,Aufrechter Ehrenpreis","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/shop-2728-GroAer_Ehrenpreis_Veronica_teucrium.htm"
