"values","name"
"shop-39441-FelsenSteinkresse_Alyssum_saxatile_Goldkugel.htm","Alyssum saxatile Goldkugel -- Felsen-Steinkresse"
"shop-42354-FelsenSteinkresse_Alyssum_saxatile_Sulphureum.htm","Alyssum saxatile Sulphureum -- Felsen-Steinkresse"
"shop-42093-GroAfruchtige_Felsenbirne_Rosinenbaum_Amelanchier_canadensis_Prince_WilliamA°_zur_Zeit_nicht_lieferbarEvtlab_Herbst_wieder.htm","Amelanchier canadensis Prince William° zur Zeit nicht lieferbar.Evtl.ab Herbst wieder. -- Großfruchtige Felsenbirne, Rosinenbaum"
"shop-901-GewA¶hnl_Felsenbirne_Amelanchier_ovalis.htm","Amelanchier ovalis -- Gewöhnl. Felsenbirne"
"shop-41075-GewA¶hnl_Felsenbirne_Amelanchier_ovalis.htm","Amelanchier ovalis -- Gewöhnl. Felsenbirne"
"shop-15-ZwergFelsenbirne_Amelanchier_ovalis_varpumila_HelveticaA°.htm","Amelanchier ovalis var.pumila (Helvetica)° -- Zwerg-Felsenbirne"
"shop-41779-ZwergFelsenbirne_Amelanchier_ovalis_varpumila_HelveticaA°.htm","Amelanchier ovalis var.pumila (Helvetica)° -- Zwerg-Felsenbirne"
"shop-967-AckerGauchheil_Anagallis_arvensis_SA.htm","Anagallis arvensis (SA)* -- Acker-Gauchheil"
"shop-968-GewA¶hnl_AckerKrummhals_Anchusa_arvensis_SA.htm","Anchusa arvensis (SA)* -- Gewöhnl. Acker-Krummhals"
"shop-2046-Italienische_Ochsenzunge_Anchusa_azurea_italica.htm","Anchusa azurea (italica) -- Italienische Ochsenzunge"
"shop-2047-GewA¶hnl_Ochsenzunge_Anchusa_officinalis.htm","Anchusa officinalis -- Gewöhnl. Ochsenzunge"
"shop-40017-GewA¶hnl_Ochsenzunge_Anchusa_officinalis.htm","Anchusa officinalis -- Gewöhnl. Ochsenzunge"
"shop-3612-StrahlenAnemone_Anemone_blanda_Blue_Shades_20_St_zur_Zeit_nicht_lieferbar_Ab_Sept_2022_wieder.htm","Anemone blanda Blue Shades*, 20 St. zur Zeit nicht lieferbar. Ab Sept. 2022 wieder! -- Strahlen-Anemone"
"shop-40687-BalkanAnemone_Anemone_blanda_White_Splendour_20_St_zur_Zeit_nicht_lieferbar_Ab_Sept_2022_wieder.htm","Anemone blanda White Splendour*, 20 St. zur Zeit nicht lieferbar. Ab Sept. 2022 wieder! -- Balkan-Anemone"
"shop-2048-GartenHerbstAnemone_Anemone_japonicaHybr_Honorine_Jobert.htm","Anemone japonica-Hybr. Honorine Jobert -- Garten-Herbst-Anemone"
"shop-518-BuschWindrA¶schen_Anemone_nemorosa_Topf_zur_Zeit_nicht_lieferbar_Ab_FrA¼hjahr_2023_wieder_da.htm","Anemone nemorosa, Topf zur Zeit nicht lieferbar! Ab Frühjahr 2023 wieder da! -- Busch-Windröschen"
"shop-2053-BuschWindrA¶schen_Anemone_nemorosa_Topf_zur_Zeit_nicht_lieferbar_Ab_FrA¼hjahr_2023_wieder_da.htm","Anemone nemorosa, Topf zur Zeit nicht lieferbar! Ab Frühjahr 2023 wieder da! -- Busch-Windröschen"
"shop-521-Gelbes_WindrA¶schen_Anemone_ranunculoides_zur_Zeit_nicht_lieferbar_Ab_FrA¼hjahr_2023_wieder_da.htm","Anemone ranunculoides zur Zeit nicht lieferbar! Ab Frühjahr 2023 wieder da! -- Gelbes Windröschen"
"shop-2054-Gelbes_WindrA¶schen_Anemone_ranunculoides_zur_Zeit_nicht_lieferbar_Ab_FrA¼hjahr_2023_wieder_da.htm","Anemone ranunculoides zur Zeit nicht lieferbar! Ab Frühjahr 2023 wieder da! -- Gelbes Windröschen"
"shop-2055-GroAes_WindrA¶schen_Anemone_sylvestris.htm","Anemone sylvestris -- Großes Windröschen"
"shop-2745-Leipziger_BuschWindrA¶schen_Naturhybr_Anemone_x_lipsiensis_Topf_zur_Zeit_nicht_lieferbar.htm","Anemone x lipsiensis*, Topf zur Zeit nicht lieferbar -- Leipziger Busch-Windröschen (Naturhybr.)"
"shop-969-GartenDill_Anethum_graveolens_SA_DEAKO006.htm","Anethum graveolens (SA) DE-ÖKO-006 -- Garten-Dill"
"shop-3227-GartenDill_Anethum_graveolens_SA_DEAKO006.htm","Anethum graveolens (SA) DE-ÖKO-006 -- Garten-Dill"
"shop-2056-Echte_Engelwurz_Angelica_archangelica.htm","Angelica archangelica -- Echte Engelwurz"
"shop-39655-Echte_Engelwurz_Angelica_archangelica.htm","Angelica archangelica -- Echte Engelwurz"
"shop-2057-WaldEngelwurz_Angelica_sylvestris_zur_Zeit_nicht_lieferbar.htm","Angelica sylvestris zur Zeit nicht lieferbar -- Wald-Engelwurz"
"shop-39656-WaldEngelwurz_Angelica_sylvestris_zur_Zeit_nicht_lieferbar.htm","Angelica sylvestris zur Zeit nicht lieferbar -- Wald-Engelwurz"
"shop-2058-GewA¶hnl_KatzenpfA¶tchen_Antennaria_dioica.htm","Antennaria dioica -- Gewöhnl. Katzenpfötchen"
"shop-970-AckerHundskamille_Anthemis_arvensis_SA.htm","Anthemis arvensis (SA)* -- Acker-Hundskamille"
"shop-2061-FA¤rberHundskamille_Anthemis_tinctoria.htm","Anthemis tinctoria -- Färber-Hundskamille"
"shop-43352-FA¤rberHundskamille_Anthemis_tinctoria_SA_fA¼r_10_qm.htm","Anthemis tinctoria (SA)* für 10 qm -- Färber-Hundskamille"
"shop-2063-Astlose_Graslilie_Anthericum_liliago.htm","Anthericum liliago -- Astlose Graslilie"
"shop-2064-Astige_Graslilie_Anthericum_ramosum.htm","Anthericum ramosum -- Ästige Graslilie"
"shop-1045-GewA¶hnl_Ruchgras_Anthoxanthum_odoratum.htm","Anthoxanthum odoratum -- Gewöhnl. Ruchgras"
"shop-39261-Echter_GartenKerbel_Anthriscus_cerefolium_SA_DEAKO006.htm","Anthriscus cerefolium (SA) DE-ÖKO-006 -- Echter Garten-Kerbel"
"shop-36459-RotblA¤ttriger_WiesenKerbel_Anthriscus_sylvestris_Ravens_Wing_zur_Zeit_nicht_lieferbar.htm","Anthriscus sylvestris Ravens Wing zur Zeit nicht lieferbar -- Rotblättriger Wiesen-Kerbel"
"shop-41535-RotblA¤ttriger_WiesenKerbel_Anthriscus_sylvestris_Ravens_Wing_zur_Zeit_nicht_lieferbar.htm","Anthriscus sylvestris Ravens Wing zur Zeit nicht lieferbar -- Rotblättriger Wiesen-Kerbel"
