"species","url"
"Potentilla alba","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Potentilla%20alba"
"Potentilla aurea","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Potentilla%20aurea"
"Primula vulgaris","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Primula%20vulgaris"
"Prunella grandiflora","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Prunella%20grandiflora"
"Pulsatilla vulgaris","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Pulsatilla%20vulgaris"
"Rhodiola rosea","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Rhodiola%20rosea"
"Rosa gallica","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Rosa%20gallica"
"Rosa glauca","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Rosa%20glauca"
"Rosa micrantha","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Rosa%20micrantha"
"Ruta graveolens","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Ruta%20graveolens"
"Salvia nemorosa","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Salvia%20nemorosa"
"Saxifraga paniculata","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Saxifraga%20paniculata"
"Sempervivum tectorum","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Sempervivum%20tectorum"
"Stipa calamagrostis","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Stipa%20calamagrostis"
"Stipa capillata","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Stipa%20capillata"
"Stipa pennata","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Stipa%20pennata"
"Stipa pulcherrima","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Stipa%20pulcherrima"
"Taxus baccata","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Taxus%20baccata"
"Thelypteris palustris","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Thelypteris%20palustris"
"Thymus serpyllum","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Thymus%20serpyllum"
"Trollius europaeus","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Trollius%20europaeus"
"Tulipa sylvestris","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Tulipa%20sylvestris"
"Typha angustifolia","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Typha%20angustifolia"
"Typha minima","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Typha%20minima"
"Veronica austriaca","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Veronica%20austriaca"
"Cochlearia officinalis","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Cochlearia%20officinalis"
"Epilobium dodonaei","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Epilobium%20dodonaei"
"Inula ensifolia","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Inula%20ensifolia"
"Polystichum setiferum","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Polystichum%20setiferum"
"Primula x pubescens","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Primula%20x"
"Sagina subulata","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Sagina%20subulata"
"Verbascum phoeniceum","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Verbascum%20phoeniceum"
"Calamintha nepeta","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Calamintha%20nepeta"
"Lysimachia punctata","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Lysimachia%20punctata"
"Saponaria ocymoides","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Saponaria%20ocymoides"
"Adonis vernalis","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Adonis%20vernalis"
"Campanula latifolia","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Campanula%20latifolia"
"Doronicum pardalianches","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Doronicum%20pardalianches"
"Galanthus nivalis","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Galanthus%20nivalis"
"Leontopodium alpinum","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Leontopodium%20alpinum"
"Pulmonaria angustifolia","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Pulmonaria%20angustifolia"
"Asplenium scolopendrium","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Asplenium%20scolopendrium"
"Butomus umbellatus","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Butomus%20umbellatus"
"Clematis recta","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Clematis%20recta"
"Corydalis solida","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Corydalis%20solida"
"Cyclamen purpurascens","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Cyclamen%20purpurascens"
"Gentiana acaulis","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Gentiana%20acaulis"
"Helleborus foetidus","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Helleborus%20foetidus"
"Isatis tinctoria","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Isatis%20tinctoria"
"Lithospermum purpurocaeruleum","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Lithospermum%20purpurocaeruleum"
"Lunaria rediviva","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Lunaria%20rediviva"
"Luzula nivea","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Luzula%20nivea"
"Malva moschata","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Malva%20moschata"
"Melittis melissophyllum","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Melittis%20melissophyllum"
"Petrorhagia saxifraga","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Petrorhagia%20saxifraga"
"Physalis alkekengi","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Physalis%20alkekengi"
"Ribes nigrum","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Ribes%20nigrum"
"Scilla bifolia","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Scilla%20bifolia"
"Silene viscaria","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Silene%20viscaria"
"Tetragonolobus maritimus","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Tetragonolobus%20maritimus"
"Thalictrum lucidum","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Thalictrum%20lucidum"
"Mentha x rotundifolia","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Mentha%20x"
"Potentilla crantzii","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Potentilla%20crantzii"
"Achillea ptarmica","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Achillea%20ptarmica"
"Ajuga genevensis","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Ajuga%20genevensis"
"Ajuga reptans","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Ajuga%20reptans"
"Alchemilla vulgaris","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Alchemilla%20vulgaris"
"Anemone nemorosa","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Anemone%20nemorosa"
"Anemone ranunculoides","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Anemone%20ranunculoides"
"Angelica sylvestris","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Angelica%20sylvestris"
"Anthyllis vulneraria","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Anthyllis%20vulneraria"
"Asarum europaeum","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Asarum%20europaeum"
"Asplenium trichomanes","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Asplenium%20trichomanes"
"Barbarea vulgaris","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Barbarea%20vulgaris"
"Bistorta officinalis","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Bistorta%20officinalis"
"Blechnum spicant","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Blechnum%20spicant"
"Briza media","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Briza%20media"
"Caltha palustris","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Caltha%20palustris"
"Campanula persicifolia","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Campanula%20persicifolia"
"Campanula trachelium","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Campanula%20trachelium"
"Cardamine pratensis","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Cardamine%20pratensis"
"Carex caryophyllea","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Carex%20caryophyllea"
"Carex digitata","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Carex%20digitata"
"Carex elata","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Carex%20elata"
"Carex montana","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Carex%20montana"
"Carex pendula","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Carex%20pendula"
"Carex remota","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Carex%20remota"
"Carum carvi","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Carum%20carvi"
"Centaurea cyanus","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Centaurea%20cyanus"
"Centaurea jacea","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Centaurea%20jacea"
"Centaurea scabiosa","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Centaurea%20scabiosa"
"Centaurium erythraea","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Centaurium%20erythraea"
"Chrysosplenium alternifolium","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Chrysosplenium%20alternifolium"
"Colchicum autumnale","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Colchicum%20autumnale"
"Equisetum hyemale","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Equisetum%20hyemale"
"Galium odoratum","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Galium%20odoratum"
"Geranium palustre","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Geranium%20palustre"
"Geranium sanguineum","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Geranium%20sanguineum"
"Geum rivale","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Geum%20rivale"
"Hepatica nobilis","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Hepatica%20nobilis"
"Inula helenium","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Inula%20helenium"
"Juncus inflexus","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Juncus%20inflexus"
"Lamium maculatum","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Lamium%20maculatum"
"Lathyrus niger","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Lathyrus%20niger"
"Lathyrus vernus","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Lathyrus%20vernus"
"Leymus arenarius","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Leymus%20arenarius"
"Lychnis flos-cuculi","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Lychnis%20flos-cuculi"
"Malva alcea","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Malva%20alcea"
"Mentha longifolia","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Mentha%20longifolia"
"Milium effusum","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Milium%20effusum"
"Myrrhis odorata","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Myrrhis%20odorata"
"Nasturtium officinale","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Nasturtium%20officinale"
"Ononis spinosa","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Ononis%20spinosa"
"Origanum vulgare","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Origanum%20vulgare"
"Pimpinella saxifraga","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Pimpinella%20saxifraga"
"Polygonatum multiflorum","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Polygonatum%20multiflorum"
"Polygonatum odoratum","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Polygonatum%20odoratum"
"Polypodium vulgare","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Polypodium%20vulgare"
"Polystichum aculeatum","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Polystichum%20aculeatum"
"Potentilla erecta","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Potentilla%20erecta"
"Potentilla neumanniana","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Potentilla%20neumanniana"
"Primula veris","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Primula%20veris"
"Pulmonaria obscura","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Pulmonaria%20obscura"
"Rumex acetosa","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Rumex%20acetosa"
"Rumex sanguineus","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Rumex%20sanguineus"
"Salvia pratensis","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Salvia%20pratensis"
"Sanguisorba officinalis","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Sanguisorba%20officinalis"
"Sanicula europaea","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Sanicula%20europaea"
"Scabiosa columbaria","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Scabiosa%20columbaria"
"Schoenoplectus lacustris","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Schoenoplectus%20lacustris"
"Sedum rupestre","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Sedum%20rupestre"
"Solidago virgaurea","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Solidago%20virgaurea"
"Stachys recta","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Stachys%20recta"
"Stellaria holostea","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Stellaria%20holostea"
"Succisa pratensis","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Succisa%20pratensis"
"Teucrium scorodonia","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Teucrium%20scorodonia"
"Thalictrum flavum","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Thalictrum%20flavum"
"Valeriana officinalis","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Valeriana%20officinalis"
"Verbena officinalis","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Verbena%20officinalis"
"Veronica beccabunga","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Veronica%20beccabunga"
"Veronica prostrata","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Veronica%20prostrata"
"Veronica spicata","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Veronica%20spicata"
"Veronica teucrium","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Veronica%20teucrium"
"Sesleria caerulea","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Sesleria%20caerulea"
"Alchemilla xanthochlora","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Alchemilla%20xanthochlora"
"Alyssum montanum","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Alyssum%20montanum"
"Astrantia major","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Astrantia%20major"
"Dianthus arenarius","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Dianthus%20arenarius"
"Eryngium planum","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Eryngium%20planum"
"Geranium sylvaticum","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Geranium%20sylvaticum"
"Primula elatior","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Primula%20elatior"
"Lilium martagon","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Lilium%20martagon"
"Scabiosa ochroleuca","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Scabiosa%20ochroleuca"
