"Species","Producer","URL"
"Ballota nigra","Staudengärtnerei StaudenSpatz","https://www.staudenspatz.de/schwarznessel-ballota-nigra.html"
"Barbarea stricta","Staudengärtnerei StaudenSpatz",NA
"Barbarea vulgaris","Staudengärtnerei StaudenSpatz","https://www.staudenspatz.de/barbarakraut-barbarea-vulgaris.html"
"Bartsia alpina","Staudengärtnerei StaudenSpatz",NA
"Berberis vulgaris","Staudengärtnerei StaudenSpatz",NA
"Berteroa incana","Staudengärtnerei StaudenSpatz",NA
"Berula erecta","Staudengärtnerei StaudenSpatz",NA
"Betula humilis","Staudengärtnerei StaudenSpatz",NA
"Betula nana","Staudengärtnerei StaudenSpatz",NA
"Betula pubescens","Staudengärtnerei StaudenSpatz",NA
"Bidens tripartita","Staudengärtnerei StaudenSpatz",NA
"Biscutella laevigata","Staudengärtnerei StaudenSpatz",NA
"Bistorta officinalis","Staudengärtnerei StaudenSpatz",NA
"Blechnum spicant","Staudengärtnerei StaudenSpatz","https://www.staudenspatz.de/rippenfarn-blechnum-spicant.html"
"Bolboschoenus maritimus","Staudengärtnerei StaudenSpatz",NA
"Brachypodium pinnatum","Staudengärtnerei StaudenSpatz",NA
"Brachypodium sylvaticum","Staudengärtnerei StaudenSpatz",NA
"Brassica nigra","Staudengärtnerei StaudenSpatz",NA
"Briza media","Staudengärtnerei StaudenSpatz","https://www.staudenspatz.de/zittergras-briza-media.html"
"Bromus erectus","Staudengärtnerei StaudenSpatz",NA
"Bryonia alba","Staudengärtnerei StaudenSpatz",NA
"Bryonia dioica","Staudengärtnerei StaudenSpatz",NA
"Buglossoides purpurocaerulea","Staudengärtnerei StaudenSpatz",NA
"Buphthalmum salicifolium","Staudengärtnerei StaudenSpatz","https://www.staudenspatz.de/ochsenauge-buphthalmum-salicifolium.html"
"Bupleurum falcatum","Staudengärtnerei StaudenSpatz",NA
"Bupleurum longifolium","Staudengärtnerei StaudenSpatz",NA
"Bupleurum ranunculoides","Staudengärtnerei StaudenSpatz",NA
"Bupleurum rotundifolium","Staudengärtnerei StaudenSpatz",NA
"Butomus umbellatus","Staudengärtnerei StaudenSpatz",NA
"Cakile maritima","Staudengärtnerei StaudenSpatz",NA
"Calamagrostis arundinacea","Staudengärtnerei StaudenSpatz",NA
"Calamagrostis canescens","Staudengärtnerei StaudenSpatz",NA
"Calamagrostis pseudophragmites","Staudengärtnerei StaudenSpatz",NA
"Calamagrostis varia","Staudengärtnerei StaudenSpatz",NA
"Calamintha nepeta","Staudengärtnerei StaudenSpatz",NA
"Calendula arvensis","Staudengärtnerei StaudenSpatz",NA
"Calla palustris","Staudengärtnerei StaudenSpatz",NA
"Callitriche palustris","Staudengärtnerei StaudenSpatz",NA
"Calluna vulgaris","Staudengärtnerei StaudenSpatz",NA
